Entity,Code,Year,Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017)) ($),Public health expenditure share GDP OWID(%),"Deaths - Protein-energy malnutrition - Sex: Both - Age: Age-standardized (Rate) (deaths per 100,000 individuals)",Infant mortality rate (%),GDP per capita (int.-$) (constant 2011 international $), annual health care per capita(constant 2011 international $),"Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate) (homicides per 100,000)"
Bhutan,BTN,2012,2104079,2.70086093,0.992816106,3.11,7032.74666,268.4584055,1.111993442
Bolivia,BOL,2012,344419840,3.77236617,7.769716697,3.34,5792.933051,333.4974473,6.447812048
Bosnia and Herzegovina,BIH,2012,531221,7.08021227,0.042594576,0.57,9929.707283,947.943652,2.650894136
Botswana,BWA,2012,66471975,3.95538221,5.405692232,3.68,14244.49431,878.7249266,8.642611649
Brazil,BRA,2012,3481037120,3.66135204,3.62834355,1.54,15119.91214,1257.327661,30.64070229
Brunei,BRN,2012,,2.11253245,0.140233666,0.89,81993.93208,1706.219453,1.466854152
Bulgaria,BGR,2012,39035034.5,3.9998185,0.049466279,0.83,15772.09659,1131.182789,2.450389098
Burkina Faso,BFA,2012,1524434363,2.98036859,20.0326172,6.06,1521.454295,82.40361559,10.24386467
Burundi,BDI,2012,2184771886,4.93086533,29.40233965,5.31,778.7354836,60.80011299,0.622290311
Cambodia,KHM,2012,28796894,1.5033407,3.96983899,3.26,2807.007055,177.6133266,2.55507946
Cameroon,CMR,2012,1387959804,1.0667471,10.05424141,6.44,3021.20597,117.7681517,2.974867081
Canada,CAN,2012,,7.65114455,0.344492942,0.48,41794.53892,4585.420877,1.655104428
Cape Verde,CPV,2012,5305275,3.33864148,1.428699752,1.98,5986.939054,288.1608013,13.66546363
Caribbean small states,,2012,,,2.870382606,1.894541731,14698.12738,868.3476211,17.85822966
Central African Republic,CAF,2012,1014056505,1.76802987,35.37633532,9.8,938.8237795,33.65525446,7.760958112
Central Asia,,2012,,,0.196870201,,,,4.913540805
Central Europe,,2012,,,0.124982524,,,,2.082463073
"Central Europe, Eastern Europe, and Central Asia",,2012,,,0.132807433,,,,9.028871981
Central Latin America,,2012,,,4.636666731,,,,36.23494475
Central Sub-Saharan Africa,,2012,,,22.01269256,,,,3.720011408
Central Europe and the Baltics,,2012,,,,0.554590571,22363.1519,1522.721027,
Chad,TCD,2012,1245570384,1.42193941,24.5538436,8.17,1962.87773,59.90136056,6.049140264
Chile,CHL,2012,56681835.5,3.47616472,2.067331592,0.72,21330.23991,1538.742736,4.433581443
China,CHN,2012,12832933170,2.94581376,0.707768362,1.16,11145.75158,588.3594347,1.170143693
Colombia,COL,2012,942827120,5.27751219,2.595053158,1.49,11840.24043,835.6853911,36.22662571
Comoros,COM,2012,20148949,2.64660402,12.13211213,5.95,1422.229487,101.522384,7.86241456
Congo,COG,2012,434664301.5,3.14942137,12.0278686,4.05,5271.16806,230.6448177,5.412921529
Cook Islands,COK,2012,,3.06178826,,,,,
Costa Rica,CRI,2012,21928470,7.00022695,0.368024244,0.85,13878.0474,1322.401185,9.596595489
Cote d'Ivoire,CIV,2012,1460358430,1.88504549,12.07723483,7.31,2712.378026,172.158423,10.15836388
Croatia,HRV,2012,16879096.5,6.36320706,0.010907787,0.45,20346.75535,1643.41053,1.326897858
Cuba,CUB,2012,,8.08825537,0.266434619,0.45,,1704.373292,5.906815853
Cyprus,CYP,2012,,3.41160371,0.306304538,0.27,31690.70277,2215.658224,1.767067362
Czech Republic,CZE,2012,5830948,6.341765,0.254388011,0.25,28527.13873,2057.588861,1.353731153
Democratic Republic of Congo,COD,2012,20132145500,1.68717363,21.82869664,8.04,706.7979638,24.55287183,3.337154294
Denmark,DNK,2012,,9.41966027,0.261145943,0.35,44336.81246,4688.673649,0.802655149
Djibouti,DJI,2012,46273787.5,5.25888563,17.40058839,5.93,,257.6303507,8.298662451
Dominica,DMA,2012,,3.66936388,1.67088083,2.24,9981.101135,553.2149498,11.69141846
Dominican Republic,DOM,2012,47912528,2.70181226,1.612918907,2.77,11494.94971,500.3807319,20.90433718
East Asia,,2012,,,0.718522786,,,,1.207383312
Eastern Europe,,2012,,,0.102922774,,,,14.51246019
Eastern Sub-Saharan Africa,,2012,,,21.70695557,,,,7.021594357
Early-demographic dividend,,2012,,,,3.661298476,7506.752973,370.4458355,
East Asia & Pacific,,2012,,,,1.63,13242.78569,779.8261842,
East Asia & Pacific (IDA & IBRD),,2012,,,,1.715185401,10341.56103,505.736876,
East Asia & Pacific (excluding high income),,2012,,,,1.718286897,10232.0163,505.7275929,
Ecuador,ECU,2012,263066742,2.957293,4.198434543,1.44,10322.1789,678.1083502,17.87372276
Egypt,EGY,2012,,1.90923133,2.120004429,2.24,9822.420181,542.4597849,0.833145966
El Salvador,SLV,2012,41253541,4.21047115,4.337338823,1.51,6663.811622,526.7184613,102.1411907
England,,2012,,,0.070293627,,,,0.504217
Equatorial Guinea,GNQ,2012,,3.32588194,7.130223295,7.6,35632.04564,1367.393441,3.206763867
Eritrea,EST,2012,,1.38397646,39.96096557,3.68,,44.79592593,12.32115577
Estonia,EST,2012,11076582,5.11576165,0.049861494,0.31,25691.99964,1555.765993,5.614586337
Ethiopia,ETH,2012,4424216538,3.31059512,19.1349143,5.04,1230.575484,72.46903911,7.71789879
Euro area,,2012,,,,0.332092973,37000.18359,3847.908501,
Europe & Central Asia,,2012,,,,0.99,27856.51341,2461.090601,
Europe & Central Asia (IDA & IBRD),,2012,,,,1.440121372,18269.79101,1121.235388,
Europe & Central Asia (excluding high income),,2012,,,,1.509128989,17780.96382,1081.538462,
European Union,,2012,,,,0.38403721,34498.48138,3389.904368,
Fiji,FJI,2012,5430105,2.76214864,3.146962695,2.04,7537.926213,309.7298772,4.221564277
Finland,FIN,2012,,7.04083988,0.032001876,0.23,39912.94136,3608.12012,1.806938027
Fragile and conflict affected situations,,2012,,,,5.941684806,3892.549426,180.6476512,
France,FRA,2012,,8.82605179,1.469109926,0.34,37327.9444,4285.438593,0.957296072
Gabon,GAB,2012,18534481,2.2102012,7.165545231,4.04,16159.72185,556.4607717,5.203611201
Gambia,GMB,2012,223180783,3.67221276,15.75168867,4.64,1560.330276,97.87944087,1.299064957
Georgia,GEO,2012,133867692,1.21034891,0.061447488,1.3,7881.329048,634.457383,3.634235766
Germany,DEU,2012,,8.36111454,0.109203493,0.33,42822.0994,4709.593602,0.805564196
Ghana,GHA,2012,733276386,3.14067583,13.4796099,4.48,3632.44568,178.4253553,3.198542832
Greece,GRC,2012,,6.27443023,0.010207733,0.33,24364.26906,2319.270226,1.415312985
Greenland,GRL,2012,,,1.218779476,,,,9.125154979
Grenada,GRD,2012,,3.04594194,1.963943424,1.34,11048.50429,714.7746282,4.965610932
Guam,GUM,2012,,,1.769508097,,,,4.597434627
Guatemala,GTM,2012,383727420,2.14774653,21.5521919,2.72,6899.108739,441.680547,36.30887503
Guinea,GIN,2012,833962877,2.09894618,21.88036618,6.54,1684.153841,65.71973754,6.609790223
Guinea-Bissau,GNB,2012,355291146,1.59137059,13.65521274,6.62,1412.954212,91.52068168,8.665844162
Guyana,GUY,2012,13492736,4.33943785,6.703656966,2.95,6420.114762,424.2785446,18.95994191
Haiti,HTI,2012,2062337235,0.98027129,7.023988129,5.88,1584.832466,159.4500485,19.60154135
Heavily indebted poor countries (HIPC),,2012,,,,5.817265654,1916.995218,116.1852566,
High SDI,,2012,,,0.377194574,,,,2.357568329
High income,,2012,,,0.462990298,0.52,40222.84058,4912.683474,2.671091133
High-income Asia Pacific,,2012,,,0.227875387,,,,0.900096629
High-middle SDI,,2012,,,0.669456942,,,,4.921628558
Honduras,HND,2012,496511325,4.45364758,2.230295145,1.86,4136.822058,421.8827931,102.7428355
Hong Kong,HKG,2012,,,,,50378.33792,,
Hungary,HUN,2012,14446992,4.91010603,0.079044571,0.48,22582.07281,1744.13678,1.884940881
IBRD only,,2012,,,,2.522499065,10480.04209,584.4670411,
IDA & IBRD total,,2012,,,,3.743276501,8680.856159,475.4100394,
IDA blend,,2012,,,,6.562096988,4478.946204,163.3160519,
IDA only,,2012,,,,5.34674119,2343.907388,112.3164898,
IDA total,,2012,,,,5.756375439,3060.515858,129.3334744,
Iceland,ISL,2012,,6.99404794,0.149653546,0.19,39931.60936,3529.113419,0.734060168
India,IND,2012,34526206800,1.18387275,3.152420165,4.11,4827.559656,217.1842987,3.316606848
Indonesia,IDN,2012,3285500634,1.14773652,8.655323018,2.54,9251.175537,273.8299528,1.079711759
Iran,IRN,2012,10563392,2.68760016,0.323562402,1.54,16625.91922,1143.93808,2.648689086
Iraq,IRQ,2012,,3.28004061,0.416116094,2.89,14625.97401,650.8411568,7.203227897
Ireland,IRL,2012,,5.62241699,0.056455863,0.34,44973.17526,3813.985997,0.897519276
Israel,ISR,2012,,4.865017,0.23129631,0.34,30582.15371,2446.055935,2.243607983
Italy,ITA,2012,7893417,6.9931209,0.123587516,0.32,35227.62483,3304.59641,0.928088211
Jamaica,JAM,2012,,3.27376045,1.825813284,1.52,8016.04319,480.8947124,36.35991129
Japan,JPN,2012,,8.40992077,0.276142621,0.22,36367.59706,3621.575814,0.599091542
Jordan,JOR,2012,,5.50930257,0.137456789,1.7,8964.263431,834.6770479,2.800377499
Kazakhstan,KAZ,2012,1164386.5,2.40821469,0.463064033,1.46,21986.31892,943.0090174,10.6193875
Kenya,KEN,2012,2581380375,3.32293745,18.34257352,3.83,2602.597687,149.2181468,10.59155402
Kiribati,KIR,2012,3326026,8.31360947,28.36272696,4.79,1762.060349,176.8544521,1.849261382
Kosovo,OWID_KOS,2012,1129711.5,,,,8386.589965,,
Kuwait,KWT,2012,,2.1872224,0.012275093,0.85,77618.00034,2017.852635,0.930346204
Kyrgyzstan,KGZ,2012,28789959,4.19724385,0.184897172,2.32,2869.838962,202.2428949,5.506506189
Laos,LAO,2012,164222187,0.79224628,4.942721047,5.6,4794.108611,97.41470086,4.051664511
Late-demographic dividend,,2012,,,,1.248081169,13353.32931,776.2982561,
Latin America & Caribbean,,2012,,,3.982671338,1.67,14379.34903,1021.351625,29.54486346
Latin America & Caribbean (IDA & IBRD),,2012,,,,1.683832785,14297.11746,1007.764032,
Latin America & Caribbean (excluding high income),,2012,,,,1.733087248,13494.38599,1000.27406,
Latvia,LVA,2012,13655708.5,3.5769554,0.07126318,0.57,20827.9116,869.7877289,7.315994922
Least developed countries: UN classification,,2012,,,,5.50602543,2206.419366,104.4415362,
Lebanon,LBN,2012,,3.23585528,0.195028881,0.81,15057.28703,1085.665973,5.182814645
Lesotho,LSO,2012,428725861,8.44735094,11.36131524,7.28,2617.302097,270.4230396,45.26149435
Liberia,LBR,2012,636071958.5,3.38634341,15.29138816,6.54,771.9054262,81.13406016,2.279343665
Libya,LBY,2012,,3.02,0.306616326,1.29,24956.37515,1148.51074,3.91128523
Lithuania,LTU,2012,15551737.5,4.34953944,0.032475196,0.42,24049.35398,1583.971811,6.991620409
Low & middle income,,2012,,,,3.767998372,8427.405262,465.9210695,
Low income,,2012,,,,5.66,1757.941144,86.41665107,
Lower middle income,,2012,,,,4.4,5350.088739,235.9725289,
Low SDI,,2012,,,11.21767073,,,,4.849342526
Low-middle SDI,,2012,,,5.469997142,,,,6.668715035
Luxembourg,LUX,2012,,5.98807092,0.397688435,0.23,89505.15896,6541.348173,1.13956899
Macao,MAC,2012,,,,,124568.5999,,
Macedonia,MKD,2012,6172843.5,4.42539678,0.019057958,0.92,11549.66814,803.0028492,1.778160115
Madagascar,MDG,2012,6064218515,1.8161053,66.01103562,3.9,1370.950275,48.34825107,1.674379017
Malawi,MWI,2012,3635486505,6.76593456,17.08353186,4.92,1039.759359,91.98897678,2.035414912
Malaysia,MYS,2012,4025074,2.21523329,0.309727651,0.64,22590.79152,901.8176385,2.009712885
Maldives,MDV,2012,2975115,6.50292714,1.345136938,0.93,12611.58587,1156.968838,0.876470158
Mali,MLI,2012,1814379084,1.67327338,25.27820472,7.47,1804.942604,101.1760025,6.111397833
Malta,MLT,2012,,6.62523457,0.055898178,0.58,29131.73091,2959.790927,1.22677524
Marshall Islands,MHL,2012,,13.90652174,7.160834557,3.11,3626.424778,620.7890145,6.633415426
Mauritania,MRT,2012,51380028,1.37024701,8.042924546,5.97,3462.56176,119.3428677,4.017465587
Mauritius,MUS,2012,961191,2.29270279,1.055400425,1.31,17093.32093,804.5865808,2.931261948
Mexico,MEX,2012,567192151.5,3.16097116,5.473900232,1.41,16394.63067,1051.515253,27.07287629
Micronesia (country),FSM,2012,3814250,11.58813926,5.70050772,3.08,3343.876355,444.7506964,5.659744071
Middle East & North Africa,,2012,,,1.0378882,2.17,17228.83023,875.4915064,2.714148751
Middle East & North Africa (IDA & IBRD),,2012,,,,2.338558136,11690.924,690.7666298,
Middle East & North Africa (excluding high income),,2012,,,,2.332109301,11610.33788,690.7666298,
Middle income,,2012,,,,3.329515747,9253.561792,506.2463426,
Middle SDI,,2012,,,2.296624973,,,,7.710578422
Moldova,MDA,2012,987544,5.51752278,0.020329295,1.44,4150.504763,501.6483238,6.575331687
Monaco,MCO,2012,,3.76419501,,0.31,,5794.630995,
Mongolia,MNG,2012,1169241,2.2605149,0.077046794,1.91,9788.825022,421.3681159,9.253881136
Montenegro,MNE,2012,2235844,4.47237839,0.080991928,0.51,14066.4356,979.6898021,3.631997815
Morocco,MAR,2012,66327727,2.18146636,0.378535871,2.51,6791.335135,425.1429937,1.242761712
Mozambique,MOZ,2012,4760713834,2.77638277,16.55116531,6.35,994.1248942,56.55687427,6.897853854
Myanmar,MMR,2012,,0.8196291,3.871329281,4.56,4148.698196,85.14629454,2.061632592
Namibia,NAM,2012,88299194,4.85409775,7.741746867,3.82,8967.163152,743.4864042,16.3365614
Nauru,NRU,2012,,6.52396561,,3.07,7905.088755,694.3781292,
Nepal,NPL,2012,339468250,2.4668546,2.097848881,3.42,2103.353638,126.9398395,1.677465357
Netherlands,NLD,2012,,9.52842158,0.326733316,0.36,45411.35235,5115.013393,0.97700041
New Zealand,NZL,2012,,9.54766661,0.080153738,0.5,33369.26946,3726.998931,1.361515269
Nicaragua,NIC,2012,96643386,4.26016257,2.238866477,1.77,4453.253517,359.1924492,8.90864307
Niger,NER,2012,1560974184,2.2118347,8.161074968,5.76,862.8663997,51.95151069,4.904294864
Nigeria,NGA,2012,23789918320,1.03316953,12.02008632,7.57,5339.451668,178.3101464,3.776878065
North America,,2012,,,0.617013534,0.59,49651.32774,8370.831921,5.282596613
North Korea,PRK,2012,,,1.945474835,1.98,,,2.907984329
Northern Ireland,,2012,,,0.086088104,,,,0.767314061
Northern Mariana Islands,MNP,2012,,,3.297083967,,,,4.696320363
Niue,NIU,2012,,6.87220336,,,,,
Norway,NOR,2012,,7.773856,0.317734827,0.24,63003.4109,6116.47888,0.866499435
OECD members,,2012,,,,0.672767134,36813.9343,4455.167588,
Oceania,,2012,,,10.63621345,,,,10.21414865
Oman,OMN,2012,,2.07995677,0.14926855,0.98,43030.17781,1073.913927,0.593469341
Other small states,,2012,,,,4.374296385,23069.28727,963.2027977,
Pacific island small states,,2012,,,,2.220492854,4924.265209,254.318736,
Pakistan,PAK,2012,1156387671,1.01846302,1.664936145,6.97,4367.451996,123.3250287,5.356985459
Palau,PLW,2012,,6.73922414,,1.54,12915.34343,1385.879665,
Palestine,PSE,2012,280867.5,,0.384180535,1.94,4841.813486,,6.132164906
Panama,PAN,2012,37349136,4.9715198,3.099880704,1.62,18441.35151,1320.360655,21.48355625
Papua New Guinea,PNG,2012,623782445,3.65327954,12.43261379,4.83,3230.318722,114.8793174,12.15616737
Paraguay,PRY,2012,50882095,4.59860124,5.128919968,2.08,7312.40983,769.2427259,12.01066162
Peru,PER,2012,236350348,2.84664765,2.694058508,1.44,10943.91927,571.7056344,4.033620346
Philippines,PHL,2012,1824562438,1.38625636,6.201224008,2.39,5988.804388,274.4892936,14.50839367
Poland,POL,2012,0,4.57751554,0.127828319,0.46,23218.1113,1544.559029,1.985591752
Portugal,PRT,2012,,6.23891139,0.308531509,0.3,25805.84983,2624.03726,1.597713732
Post-demographic dividend,,2012,,,,0.456895858,39386.81596,4987.117031,
Pre-demographic dividend,,2012,,,,6.24205701,3336.376959,152.6352062,
Puerto Rico,PRI,2012,,,1.070596029,,34622.05002,,24.24152936
Qatar,QAT,2012,,1.83147767,0.04564629,0.74,125302.08,2855.522737,0.909519779
Romania,ROU,2012,0,4.39738629,0.184989317,0.94,18302.02629,1005.042832,2.265379282
Russia,RUS,2012,9930920,3.7958389,0.106469684,0.84,25156.42094,1653.680618,17.49612603
Rwanda,RWA,2012,1729595935,2.8358772,17.09810345,3.75,1521.626448,115.9307712,4.980891334
Saint Kitts and Nevis,KNA,2012,,2.37517464,,1.17,21319.23496,1182.516053,
Saint Lucia,LCA,2012,12632796,4.2074087,2.065418198,1.61,12064.76572,873.0018097,18.62784138
Saint Vincent and the Grenadines,VCT,2012,,4.40344684,4.310748398,1.77,10009.13083,863.0065033,20.10746042
Samoa,WSM,2012,158118,4.33764124,4.217217547,1.57,5644.292861,288.6519309,3.153495639
San Marino,SMR,2012,,5.86594834,,0.26,60282.54381,3574.230162,
Sao Tome and Principe,STP,2012,9349767,2.48230437,9.911927718,3.05,2718.163543,275.6556145,5.499141239
Saudi Arabia,SAU,2012,,2.75228269,0.535210265,0.9,49658.6527,1920.380701,0.86362497
Scotland,,2012,,,0.095517591,,,,0.949406212
Senegal,SEN,2012,1203154537,2.17986622,7.566617055,3.93,2187.17909,95.01243387,1.030856882
Serbia,SRB,2012,1497960,6.04971324,0.092953305,0.62,12898.70491,1266.62247,2.705186635
Seychelles,SYC,2012,287109,3.79789254,1.290416483,1.24,22618.01239,919.6957731,6.196710604
Sierra Leone,SLE,2012,530713358,1.98087849,23.1954355,9.98,1402.697094,179.022627,1.488977012
Singapore,SGP,2012,,1.50107774,0.0113359,0.22,76285.56992,3258.996796,0.529489201
Slovakia,SVK,2012,4502202,5.67922105,0.071699473,0.55,26218.4716,2064.596533,2.661634371
Slovenia,SVN,2012,0,6.80388719,0.013096137,0.23,27976.91631,2616.847383,1.08141699
Small states,,2012,,,,3.892574181,20345.46944,901.3393885,
Solomon Islands,SLB,2012,43635020,5.09469496,6.500087574,2.04,2119.467968,112.9780315,5.477783615
Somalia,SOM,2012,,,27.98025627,9.16,,,12.24877789
South Africa,ZAF,2012,1750222012,4.27629351,5.10311414,3.61,12215.25187,1097.427426,30.90263759
South Asia,,2012,,,3.206665467,4.5,4547.649923,193.5339891,3.381006295
South Asia (IDA & IBRD),,2012,,3.85169163,,4.495145455,4547.649923,193.5339891,
South Korea,KOR,2012,,0.91707714,0.105769642,0.33,31776.89703,2245.553976,1.709916953
South Sudan,SSD,2012,3087732465,,27.81327717,6.37,1550.269284,50.44431903,18.73105639
Southeast Asia,,2012,,,4.099935514,,,,4.201664408
"Southeast Asia, East Asia, and Oceania",,2012,,,1.595339237,,,,2.158862286
Southern Latin America,,2012,,,1.950794695,,,,5.826760182
Southern Sub-Saharan Africa,,2012,,,9.63903117,,,,26.11446959
Spain,ESP,2012,,6.7346152,0.13220948,0.3,31109.18746,2997.551666,0.822220144
Sri Lanka,LKA,2012,41067683,1.21959941,0.70614139,0.93,9980.022952,288.0044676,3.932596568
Sub-Saharan Africa,,2012,,,16.91743921,6.06,3327.876874,186.1491808,7.18695543
Sub-Saharan Africa (IDA & IBRD),,2012,,,,6.058302695,3327.876874,186.1491808,
Sub-Saharan Africa (excluding high income),,2012,,,,6.058528419,3326.039896,186.0782882,
Sudan,SDN,2012,656412313.5,1.87179556,1.885069731,4.92,4097.068622,262.379384,2.262809771
Suriname,SUR,2012,52523609.5,3.21586169,2.362746177,2.05,15132.25261,955.9659008,9.656086057
Swaziland,SWZ,2012,139551618,6.29539313,9.696853073,5.13,7528.841673,526.6362255,28.36848931
Sweden,SWE,2012,,9.95552109,0.278566195,0.25,43308.21447,5007.480762,1.238666641
Switzerland,CHE,2012,,7.49878485,0.202005406,0.39,56149.67086,6173.036453,0.720027545
Syrian Arab Republic,,,,,,1.41,,,
Syria,SYR,2012,,1.50716579,0.590682744,,,163.2491328,1.878365741
Taiwan,TWN,2012,,,0.286875505,,,,1.5576485
Tajikistan,TJK,2012,286521605.5,1.87760452,0.170510691,3.43,2324.369287,152.4609277,2.824313834
Tanzania,TZA,2012,4797653805,2.79046023,15.25444211,4.48,2227.828714,127.1119071,5.959350162
Thailand,THA,2012,4657546,3.24811916,0.46615799,1.04,14448.30501,573.3940428,6.843409631
Timor,TLS,2012,35250605,0.91575551,5.901396861,4.82,9977.079097,95.84250102,2.663545994
Togo,TGO,2012,1044827100,1.94779734,10.50092053,5.61,1259.334474,67.31487705,5.854096491
Tonga,TON,2012,131765,3.64053035,5.513618258,1.5,5128.53418,231.4315242,2.220744752
Trinidad and Tobago,TTO,2012,1208077,2.89498885,1.342782512,2.65,31254.78873,1706.688453,26.74034998
Tropical Latin America,,2012,,,3.672013768,,,,30.07260641
Tunisia,TUN,2012,17942232,4.15787253,0.223737075,1.36,10404.22409,766.0400576,0.651565027
Turkey,TUR,2012,5190847.5,4.1491433,0.517511332,1.43,20282.02838,948.7019637,2.084376607
Turkmenistan,TKM,2012,17568435.5,1.27337639,0.09368776,4.71,12235.36862,248.8387752,4.072165422
Tuvalu,TUV,2012,30514,13.64102564,,2.44,3031.898968,495.3320168,
Uganda,UGA,2012,2550734610,2.15389932,13.10589693,4.51,1608.439799,133.5744714,4.245034236
Ukraine,UKR,2012,0,4.12524044,0.104549878,0.92,8322.173034,636.3530089,8.016280733
United Arab Emirates,ARE,2012,,2.55002589,0.164935905,0.7,59419.08949,1993.590901,1.23460079
United Kingdom,GBR,2012,,7.80263316,0.073460905,0.41,36892.85031,3322.940065,0.556427725
United States,USA,2012,,8.04235781,0.649532141,0.61,50520.34829,8789.767513,5.678312409
Upper middle income,,2012,,,,1.45,13599.83113,812.6167939,
United States Virgin Islands,VIR,2012,,,1.698188111,,,,29.48568627
Uruguay,URY,2012,2593690,5.94708868,1.570492689,0.85,18477.37913,1640.65921,6.383190273
Uzbekistan,UZB,2012,1542218477,3.12737145,0.03271631,2.78,4765.860109,323.7948448,2.524154229
Vanuatu,VUT,2012,6206825,3.16739626,7.407017474,2.45,2899.164415,109.2798307,1.71884821
Venezuela,VEN,2012,1324862400,1.67563803,1.516335191,1.46,17678.8125,865.2300762,52.72493464
Vietnam,VNM,2012,357220463,3.72212414,0.097141067,1.79,4821.137231,342.1910244,1.845484342
Wales,,2012,,,0.083570306,,,,0.656406804
Western Europe,,2012,,,0.351725794,,,,0.925595559
Western Sub-Saharan Africa,,2012,,,13.77301868,,,,4.648307339
World,OWID_WRL,2012,1.80514E+11,,4.110110553,3.45,13838.01198,1179.840791,5.658716272
Yemen,YEM,2012,,1.57162782,2.472157161,4.32,3793.412118,210.6413092,3.060375293
Zambia,ZMB,2012,3019621056,2.53637046,21.40492908,4.96,3509.413319,175.0925745,6.202861112
Zimbabwe,ZWE,2012,427411678.5,2.78944514,31.16849648,4.84,1871.36634,112.2177969,8.984186721
