Entity,Code,Year, (constant 2011 international $)
Argentina,ARG,2003,710.749021
Argentina,ARG,2004,785.4088267
Argentina,ARG,2005,891.6832748
Argentina,ARG,2006,979.1829161
Argentina,ARG,2007,1077.790789
Argentina,ARG,2008,1174.270914
Argentina,ARG,2009,1345.345484
Argentina,ARG,2010,1284.831468
Argentina,ARG,2011,1227.337517
Argentina,ARG,2012,1133.039588
Argentina,ARG,2013,1174.485415
Argentina,ARG,2014,1137.243423
Armenia,ARM,1995,101.5272645
Armenia,ARM,1996,100.28471
Armenia,ARM,1997,106.1639136
Armenia,ARM,1998,115.8336846
Armenia,ARM,1999,120.6592937
Armenia,ARM,2000,144.6637881
Armenia,ARM,2001,154.7937119
Armenia,ARM,2002,162.4024887
Armenia,ARM,2003,195.3098747
Armenia,ARM,2004,219.9450711
Armenia,ARM,2005,247.7025987
Armenia,ARM,2006,252.9707709
Armenia,ARM,2007,279.3632095
Armenia,ARM,2008,269.6726375
Armenia,ARM,2009,279.9146267
Armenia,ARM,2010,290.9018988
Armenia,ARM,2011,252.650423
Armenia,ARM,2012,331.6103735
Armenia,ARM,2013,352.2560004
Armenia,ARM,2014,362.1252788
Australia,AUS,1995,1640.93481
Australia,AUS,1996,1742.664865
Australia,AUS,1997,1837.895986
Australia,AUS,1998,1976.650669
Australia,AUS,1999,2121.67752
Australia,AUS,2000,2298.604238
Australia,AUS,2001,2426.964345
Australia,AUS,2002,2593.62626
Australia,AUS,2003,2696.3223
Australia,AUS,2004,2918.114186
Australia,AUS,2005,3031.410677
Australia,AUS,2006,3235.020493
Australia,AUS,2007,3413.338609
Australia,AUS,2008,3554.95354
Australia,AUS,2009,3782.285049
Australia,AUS,2010,3857.730052
Australia,AUS,2011,4085.863023
Australia,AUS,2012,4151.819526
Australia,AUS,2013,4259.096655
Australia,AUS,2014,4357.260783
Austria,AUT,1995,2249.468316
Austria,AUT,1996,2325.048663
Austria,AUT,1997,2458.582496
Austria,AUT,1998,2621.931259
Austria,AUT,1999,2773.206511
Austria,AUT,2000,2914.058434
Austria,AUT,2001,2947.74336
Austria,AUT,2002,3136.019239
Austria,AUT,2003,3295.587336
Austria,AUT,2004,3482.554086
Austria,AUT,2005,3552.920905
Austria,AUT,2006,3795.165839
Austria,AUT,2007,3967.367618
Austria,AUT,2008,4233.748101
Austria,AUT,2009,4394.752778
Austria,AUT,2010,4530.806871
Austria,AUT,2011,4676.910871
Austria,AUT,2012,4862.869021
Austria,AUT,2013,4889.146013
Austria,AUT,2014,5038.881645
Azerbaijan,AZE,1995,138.6541053
Azerbaijan,AZE,1996,149.6563638
Azerbaijan,AZE,1997,142.0866213
Azerbaijan,AZE,1998,156.2832623
Azerbaijan,AZE,1999,166.6394903
Azerbaijan,AZE,2000,163.6723701
Azerbaijan,AZE,2001,174.8940473
Azerbaijan,AZE,2002,193.6936769
Azerbaijan,AZE,2003,319.2626307
Azerbaijan,AZE,2004,431.6080699
Azerbaijan,AZE,2005,552.4594057
Azerbaijan,AZE,2006,593.8930659
Azerbaijan,AZE,2007,622.5355242
Azerbaijan,AZE,2008,596.4411546
Azerbaijan,AZE,2009,868.5007534
Azerbaijan,AZE,2010,829.3407725
Azerbaijan,AZE,2011,784.5216105
Azerbaijan,AZE,2012,873.877457
Azerbaijan,AZE,2013,948.9511
Azerbaijan,AZE,2014,1047.300598
Bahamas,BHS,1995,1104.340244
Bahamas,BHS,1996,1168.045258
Bahamas,BHS,1997,962.2907503
Bahamas,BHS,1998,1014.308061
Bahamas,BHS,1999,1020.741139
Bahamas,BHS,2000,1066.990393
Bahamas,BHS,2001,1087.475041
Bahamas,BHS,2002,1135.566076
Bahamas,BHS,2003,1196.896318
Bahamas,BHS,2004,1302.467888
Bahamas,BHS,2005,1345.813147
Bahamas,BHS,2006,1623.403954
Bahamas,BHS,2007,1693.049307
Bahamas,BHS,2008,1708.736466
Bahamas,BHS,2009,1649.649886
Bahamas,BHS,2010,1668.110446
Bahamas,BHS,2011,1730.194828
Bahamas,BHS,2012,1725.575444
Bahamas,BHS,2013,1637.041217
Bahamas,BHS,2014,1818.768493
Bahrain,BHR,1995,1504.591527
Bahrain,BHR,1996,1517.769206
Bahrain,BHR,1997,1655.636919
Bahrain,BHR,1998,1653.97033
Bahrain,BHR,1999,1658.846212
Bahrain,BHR,2000,1255.930615
Bahrain,BHR,2001,1366.533297
Bahrain,BHR,2002,1407.453801
Bahrain,BHR,2003,1397.719841
Bahrain,BHR,2004,1303.469374
Bahrain,BHR,2005,1255.980433
Bahrain,BHR,2006,1237.480217
Bahrain,BHR,2007,1261.227901
Bahrain,BHR,2008,1294.131562
Bahrain,BHR,2009,1489.732944
Bahrain,BHR,2010,1434.094441
Bahrain,BHR,2011,1349.784146
Bahrain,BHR,2012,1788.868383
Bahrain,BHR,2013,2028.710659
Bahrain,BHR,2014,2272.895905
Bangladesh,BGD,1995,33.84762153
Bangladesh,BGD,1996,32.4400828
Bangladesh,BGD,1997,25.62927799
Bangladesh,BGD,1998,26.70631957
Bangladesh,BGD,1999,28.32415664
Bangladesh,BGD,2000,30.35170574
Bangladesh,BGD,2001,33.98057033
Bangladesh,BGD,2002,36.93081276
Bangladesh,BGD,2003,37.53835868
Bangladesh,BGD,2004,41.62295918
Bangladesh,BGD,2005,46.16724735
Bangladesh,BGD,2006,52.31747093
Bangladesh,BGD,2007,56.86858763
Bangladesh,BGD,2008,61.8161763
Bangladesh,BGD,2009,66.13961412
Bangladesh,BGD,2010,73.57809255
Bangladesh,BGD,2011,81.40056421
Bangladesh,BGD,2012,85.14951446
Bangladesh,BGD,2013,84.68115871
Bangladesh,BGD,2014,88.07585743
Barbados,BRB,1995,475.1054758
Barbados,BRB,1996,477.0258758
Barbados,BRB,1997,518.4531098
Barbados,BRB,1998,519.1993573
Barbados,BRB,1999,553.6043295
Barbados,BRB,2000,593.8527859
Barbados,BRB,2001,626.288181
Barbados,BRB,2002,672.1465683
Barbados,BRB,2003,703.4967456
Barbados,BRB,2004,718.0895584
Barbados,BRB,2005,723.1964006
Barbados,BRB,2006,769.987721
Barbados,BRB,2007,855.7249018
Barbados,BRB,2008,929.9543692
Barbados,BRB,2009,924.1096859
Barbados,BRB,2010,927.3165822
Barbados,BRB,2011,1027.245437
Barbados,BRB,2012,1160.823549
Barbados,BRB,2013,1013.729832
Barbados,BRB,2014,1013.966882
Belarus,BLR,1995,260.1269707
Belarus,BLR,1996,252.7208506
Belarus,BLR,1997,303.8120523
Belarus,BLR,1998,301.9902018
Belarus,BLR,1999,329.5482617
Belarus,BLR,2000,356.4930395
Belarus,BLR,2001,415.2695275
Belarus,BLR,2002,435.4729784
Belarus,BLR,2003,487.5193352
Belarus,BLR,2004,561.6955025
Belarus,BLR,2005,666.9075046
Belarus,BLR,2006,699.1582445
Belarus,BLR,2007,795.0716405
Belarus,BLR,2008,828.1280672
Belarus,BLR,2009,857.0796699
Belarus,BLR,2010,854.3490242
Belarus,BLR,2011,816.2300453
Belarus,BLR,2012,859.4886454
Belarus,BLR,2013,1068.229215
Belarus,BLR,2014,1030.992411
Belgium,BEL,1995,1713.616251
Belgium,BEL,1996,1808.795561
Belgium,BEL,1997,1853.356285
Belgium,BEL,1998,1923.798629
Belgium,BEL,1999,2050.609457
Belgium,BEL,2000,2249.151316
Belgium,BEL,2001,2371.458175
Belgium,BEL,2002,2548.322205
Belgium,BEL,2003,2828.233053
Belgium,BEL,2004,2914.187794
Belgium,BEL,2005,2985.253592
Belgium,BEL,2006,3152.308479
Belgium,BEL,2007,3310.339285
Belgium,BEL,2008,3568.453998
Belgium,BEL,2009,3837.043375
Belgium,BEL,2010,3906.652892
Belgium,BEL,2011,4166.279224
Belgium,BEL,2012,4237.731493
Belgium,BEL,2013,4264.187379
Belgium,BEL,2014,4391.595144
Belize,BLZ,1995,192.2040621
Belize,BLZ,1996,164.4352242
Belize,BLZ,1997,180.2625847
Belize,BLZ,1998,176.1554763
Belize,BLZ,1999,181.0648658
Belize,BLZ,2000,219.3762079
Belize,BLZ,2001,258.7846253
Belize,BLZ,2002,261.2601642
Belize,BLZ,2003,293.9095207
Belize,BLZ,2004,298.4971618
Belize,BLZ,2005,312.1397888
Belize,BLZ,2006,323.9967907
Belize,BLZ,2007,354.4663171
Belize,BLZ,2008,389.0088232
Belize,BLZ,2009,439.0391864
Belize,BLZ,2010,451.1503129
Belize,BLZ,2011,440.41475
Belize,BLZ,2012,449.9795476
Belize,BLZ,2013,477.1873919
Belize,BLZ,2014,488.7354549
Benin,BEN,1995,47.83495731
Benin,BEN,1996,48.13154517
Benin,BEN,1997,47.24747459
Benin,BEN,1998,49.07447204
Benin,BEN,1999,53.31409853
Benin,BEN,2000,52.4596597
Benin,BEN,2001,59.64439637
Benin,BEN,2002,55.8088816
Benin,BEN,2003,61.96274667
Benin,BEN,2004,62.57837798
Benin,BEN,2005,66.76049374
Benin,BEN,2006,69.42651728
Benin,BEN,2007,69.19661012
Benin,BEN,2008,66.35790844
Benin,BEN,2009,70.92418657
Benin,BEN,2010,79.34247826
Benin,BEN,2011,88.22889863
Benin,BEN,2012,83.3296218
Benin,BEN,2013,82.24058643
Benin,BEN,2014,85.60836075
Bhutan,BTN,1995,84.99506561
Bhutan,BTN,1996,143.9966131
Bhutan,BTN,1997,176.7983314
Bhutan,BTN,1998,181.9404587
Bhutan,BTN,1999,186.1006062
Bhutan,BTN,2000,197.0574291
Bhutan,BTN,2001,181.2370585
Bhutan,BTN,2002,259.2260657
Bhutan,BTN,2003,174.817784
Bhutan,BTN,2004,166.1670028
Bhutan,BTN,2005,214.4161133
Bhutan,BTN,2006,230.02755
Bhutan,BTN,2007,304.0870618
Bhutan,BTN,2008,356.5081738
Bhutan,BTN,2009,344.6217256
Bhutan,BTN,2010,328.6341034
Bhutan,BTN,2011,325.6514913
Bhutan,BTN,2012,268.4584055
Bhutan,BTN,2013,283.0252617
Bhutan,BTN,2014,281.0963427
Bolivia,BOL,1995,111.6151371
Bolivia,BOL,1996,144.320893
Bolivia,BOL,1997,136.0910227
Bolivia,BOL,1998,173.3072104
Bolivia,BOL,1999,210.5977847
Bolivia,BOL,2000,198.226764
Bolivia,BOL,2001,225.2539218
Bolivia,BOL,2002,238.0877679
Bolivia,BOL,2003,201.9512336
Bolivia,BOL,2004,208.7873595
Bolivia,BOL,2005,240.2656349
Bolivia,BOL,2006,233.9702636
Bolivia,BOL,2007,236.1006519
Bolivia,BOL,2008,253.4518124
Bolivia,BOL,2009,299.3084569
Bolivia,BOL,2010,293.4396902
Bolivia,BOL,2011,312.7568877
Bolivia,BOL,2012,333.4974473
Bolivia,BOL,2013,382.1140385
Bolivia,BOL,2014,427.4112965
Bosnia and Herzegovina,BIH,1995,112.5535352
Bosnia and Herzegovina,BIH,1996,229.6594877
Bosnia and Herzegovina,BIH,1997,263.6712159
Bosnia and Herzegovina,BIH,1998,308.2004671
Bosnia and Herzegovina,BIH,1999,364.137124
Bosnia and Herzegovina,BIH,2000,314.5727101
Bosnia and Herzegovina,BIH,2001,338.7650758
Bosnia and Herzegovina,BIH,2002,354.7504198
Bosnia and Herzegovina,BIH,2003,426.8613155
Bosnia and Herzegovina,BIH,2004,527.7047889
Bosnia and Herzegovina,BIH,2005,544.8289626
Bosnia and Herzegovina,BIH,2006,607.5734653
Bosnia and Herzegovina,BIH,2007,671.7814557
Bosnia and Herzegovina,BIH,2008,754.8817222
Bosnia and Herzegovina,BIH,2009,837.7052639
Bosnia and Herzegovina,BIH,2010,855.8363695
Bosnia and Herzegovina,BIH,2011,915.1051226
Bosnia and Herzegovina,BIH,2012,947.943652
Bosnia and Herzegovina,BIH,2013,919.1733347
Bosnia and Herzegovina,BIH,2014,957.3969791
Botswana,BWA,1995,271.2409748
Botswana,BWA,1996,284.5444591
Botswana,BWA,1997,333.003595
Botswana,BWA,1998,326.7415367
Botswana,BWA,1999,329.3766796
Botswana,BWA,2000,381.380159
Botswana,BWA,2001,475.3577751
Botswana,BWA,2002,570.6347699
Botswana,BWA,2003,431.4554217
Botswana,BWA,2004,537.0387833
Botswana,BWA,2005,577.471205
Botswana,BWA,2006,555.9358078
Botswana,BWA,2007,580.1953078
Botswana,BWA,2008,737.2376075
Botswana,BWA,2009,750.4743697
Botswana,BWA,2010,779.7747171
Botswana,BWA,2011,697.8671815
Botswana,BWA,2012,878.7249266
Botswana,BWA,2013,893.1656896
Botswana,BWA,2014,870.83699
Brazil,BRA,1995,524.4785181
Brazil,BRA,1996,553.5279385
Brazil,BRA,1997,571.8580503
Brazil,BRA,1998,559.8598619
Brazil,BRA,1999,592.5513351
Brazil,BRA,2000,633.747585
Brazil,BRA,2001,661.7844328
Brazil,BRA,2002,676.787495
Brazil,BRA,2003,670.8255928
Brazil,BRA,2004,731.4827382
Brazil,BRA,2005,899.4984761
Brazil,BRA,2006,963.2155184
Brazil,BRA,2007,1027.572816
Brazil,BRA,2008,1083.500785
Brazil,BRA,2009,1132.276749
Brazil,BRA,2010,1167.125891
Brazil,BRA,2011,1199.845243
Brazil,BRA,2012,1257.327661
Brazil,BRA,2013,1334.097569
Brazil,BRA,2014,1318.17208
Brunei,BRN,1995,1694.93341
Brunei,BRN,1996,2175.112145
Brunei,BRN,1997,2134.960196
Brunei,BRN,1998,2501.407847
Brunei,BRN,1999,2193.989845
Brunei,BRN,2000,1809.563881
Brunei,BRN,2001,1867.912782
Brunei,BRN,2002,1919.423638
Brunei,BRN,2003,2014.47711
Brunei,BRN,2004,1988.17995
Brunei,BRN,2005,1768.163224
Brunei,BRN,2006,1598.641519
Brunei,BRN,2007,1669.562642
Brunei,BRN,2008,1578.992212
Brunei,BRN,2009,1964.518746
Brunei,BRN,2010,1926.50587
Brunei,BRN,2011,1645.460831
Brunei,BRN,2012,1706.219453
Brunei,BRN,2013,1903.79442
Brunei,BRN,2014,1777.758609
Bulgaria,BGR,1995,290.272253
Bulgaria,BGR,1996,240.9604535
Bulgaria,BGR,1997,255.6107825
Bulgaria,BGR,1998,284.9715342
Bulgaria,BGR,1999,337.6014218
Bulgaria,BGR,2000,384.2433979
Bulgaria,BGR,2001,490.8430363
Bulgaria,BGR,2002,574.774299
Bulgaria,BGR,2003,624.9532999
Bulgaria,BGR,2004,651.9634134
Bulgaria,BGR,2005,721.5962004
Bulgaria,BGR,2006,770.9879737
Bulgaria,BGR,2007,850.886807
Bulgaria,BGR,2008,984.0822232
Bulgaria,BGR,2009,1005.251479
Bulgaria,BGR,2010,1088.29716
Bulgaria,BGR,2011,1070.939417
Bulgaria,BGR,2012,1131.182789
Bulgaria,BGR,2013,1270.509732
Bulgaria,BGR,2014,1398.878488
Burkina Faso,BFA,1995,31.09321985
Burkina Faso,BFA,1996,35.77392433
Burkina Faso,BFA,1997,37.57249975
Burkina Faso,BFA,1998,40.64801576
Burkina Faso,BFA,1999,42.68722869
Burkina Faso,BFA,2000,41.95065904
Burkina Faso,BFA,2001,42.94740345
Burkina Faso,BFA,2002,47.61087507
Burkina Faso,BFA,2003,54.18894418
Burkina Faso,BFA,2004,64.98683798
Burkina Faso,BFA,2005,75.3896944
Burkina Faso,BFA,2006,76.27144834
Burkina Faso,BFA,2007,81.26638036
Burkina Faso,BFA,2008,88.02503815
Burkina Faso,BFA,2009,96.90349801
Burkina Faso,BFA,2010,99.9191233
Burkina Faso,BFA,2011,76.01352537
Burkina Faso,BFA,2012,82.40361559
Burkina Faso,BFA,2013,96.72003406
Burkina Faso,BFA,2014,82.30537688
Burundi,BDI,1995,32.54320045
Burundi,BDI,1996,30.87109375
Burundi,BDI,1997,27.88372234
Burundi,BDI,1998,31.84791126
Burundi,BDI,1999,30.70990998
Burundi,BDI,2000,28.14571736
Burundi,BDI,2001,28.51732101
Burundi,BDI,2002,30.48367392
Burundi,BDI,2003,30.25593705
Burundi,BDI,2004,42.60212761
Burundi,BDI,2005,59.34786042
Burundi,BDI,2006,72.70312899
Burundi,BDI,2007,65.8684821
Burundi,BDI,2008,53.37726263
Burundi,BDI,2009,48.57511125
Burundi,BDI,2010,61.32775752
Burundi,BDI,2011,61.53007119
Burundi,BDI,2012,60.80011299
Burundi,BDI,2013,60.26275697
Burundi,BDI,2014,58.01861945
Cambodia,KHM,1995,43.15394376
Cambodia,KHM,1996,61.95748636
Cambodia,KHM,1997,56.28157395
Cambodia,KHM,1998,54.25003265
Cambodia,KHM,1999,55.93190186
Cambodia,KHM,2000,63.72911176
Cambodia,KHM,2001,67.15479317
Cambodia,KHM,2002,74.37915712
Cambodia,KHM,2003,91.76420136
Cambodia,KHM,2004,97.64608352
Cambodia,KHM,2005,102.0390272
Cambodia,KHM,2006,87.98498475
Cambodia,KHM,2007,82.01514141
Cambodia,KHM,2008,130.3496917
Cambodia,KHM,2009,148.166017
Cambodia,KHM,2010,146.5850061
Cambodia,KHM,2011,149.4216897
Cambodia,KHM,2012,177.6133266
Cambodia,KHM,2013,182.603143
Cambodia,KHM,2014,183.2312281
Cameroon,CMR,1995,61.59151072
Cameroon,CMR,1996,85.67326204
Cameroon,CMR,1997,80.28199924
Cameroon,CMR,1998,78.92748857
Cameroon,CMR,1999,81.4090631
Cameroon,CMR,2000,85.34653046
Cameroon,CMR,2001,93.27304682
Cameroon,CMR,2002,99.29319896
Cameroon,CMR,2003,104.9966375
Cameroon,CMR,2004,103.7100568
Cameroon,CMR,2005,107.1951502
Cameroon,CMR,2006,109.6316628
Cameroon,CMR,2007,115.0051475
Cameroon,CMR,2008,127.9796348
Cameroon,CMR,2009,125.512924
Cameroon,CMR,2010,133.3301994
Cameroon,CMR,2011,103.5778214
Cameroon,CMR,2012,117.7681517
Cameroon,CMR,2013,121.7318192
Cameroon,CMR,2014,121.9234186
Canada,CAN,1995,2076.423794
Canada,CAN,1996,2073.62745
Canada,CAN,1997,2168.076555
Canada,CAN,1998,2319.942311
Canada,CAN,1999,2427.162632
Canada,CAN,2000,2540.588061
Canada,CAN,2001,2745.807463
Canada,CAN,2002,2887.674786
Canada,CAN,2003,3073.757673
Canada,CAN,2004,3232.4533
Canada,CAN,2005,3469.042544
Canada,CAN,2006,3707.94287
Canada,CAN,2007,3878.020979
Canada,CAN,2008,4047.28297
Canada,CAN,2009,4351.078532
Canada,CAN,2010,4512.824421
Canada,CAN,2011,4521.408976
Canada,CAN,2012,4585.420877
Canada,CAN,2013,4623.250028
Canada,CAN,2014,4640.946497
Cape Verde,CPV,1995,94.06137534
Cape Verde,CPV,1996,94.66525595
Cape Verde,CPV,1997,102.441612
Cape Verde,CPV,1998,125.9097736
Cape Verde,CPV,1999,123.4125739
Cape Verde,CPV,2000,144.9737177
Cape Verde,CPV,2001,160.4376736
Cape Verde,CPV,2002,167.9734672
Cape Verde,CPV,2003,169.6105544
Cape Verde,CPV,2004,191.8841512
Cape Verde,CPV,2005,209.1683385
Cape Verde,CPV,2006,249.1719415
Cape Verde,CPV,2007,230.7948014
Cape Verde,CPV,2008,229.9649468
Cape Verde,CPV,2009,243.4941978
Cape Verde,CPV,2010,282.6504914
Cape Verde,CPV,2011,282.6959003
Cape Verde,CPV,2012,288.1608013
Cape Verde,CPV,2013,271.888014
Cape Verde,CPV,2014,310.123883
Caribbean small states,,1995,375.492639
Caribbean small states,,1996,398.206676
Caribbean small states,,1997,443.9086574
Caribbean small states,,1998,435.9050859
Caribbean small states,,1999,437.500633
Caribbean small states,,2000,466.3834743
Caribbean small states,,2001,475.2846801
Caribbean small states,,2002,486.5048514
Caribbean small states,,2003,524.8801972
Caribbean small states,,2004,574.3693539
Caribbean small states,,2005,588.737698
Caribbean small states,,2006,623.7037368
Caribbean small states,,2007,710.7077173
Caribbean small states,,2008,722.593607
Caribbean small states,,2009,812.6764826
Caribbean small states,,2010,756.6678309
Caribbean small states,,2011,782.2987097
Caribbean small states,,2012,868.3476211
Caribbean small states,,2013,880.7825483
Caribbean small states,,2014,883.2986349
Central African Republic,CAF,1995,22.73567414
Central African Republic,CAF,1996,27.04578263
Central African Republic,CAF,1997,22.61076049
Central African Republic,CAF,1998,24.43592798
Central African Republic,CAF,1999,27.34436325
Central African Republic,CAF,2000,27.80788445
Central African Republic,CAF,2001,27.20537157
Central African Republic,CAF,2002,29.67287685
Central African Republic,CAF,2003,29.14289984
Central African Republic,CAF,2004,29.7197867
Central African Republic,CAF,2005,31.83783487
Central African Republic,CAF,2006,31.07325843
Central African Republic,CAF,2007,33.23035268
Central African Republic,CAF,2008,36.13393865
Central African Republic,CAF,2009,30.19576783
Central African Republic,CAF,2010,33.67421824
Central African Republic,CAF,2011,33.35862772
Central African Republic,CAF,2012,33.65525446
Central African Republic,CAF,2013,22.59951549
Central African Republic,CAF,2014,24.95621963
Central Europe and the Baltics,,1995,435.8646305
Central Europe and the Baltics,,1996,470.4879405
Central Europe and the Baltics,,1997,490.1806931
Central Europe and the Baltics,,1998,524.4164605
Central Europe and the Baltics,,1999,551.6067584
Central Europe and the Baltics,,2000,582.0743113
Central Europe and the Baltics,,2001,648.3856027
Central Europe and the Baltics,,2002,729.0413355
Central Europe and the Baltics,,2003,804.0809628
Central Europe and the Baltics,,2004,868.2300323
Central Europe and the Baltics,,2005,934.3024511
Central Europe and the Baltics,,2006,1022.335326
Central Europe and the Baltics,,2007,1134.300097
Central Europe and the Baltics,,2008,1295.412345
Central Europe and the Baltics,,2009,1390.689645
Central Europe and the Baltics,,2010,1436.764127
Central Europe and the Baltics,,2011,1485.840101
Central Europe and the Baltics,,2012,1522.721027
Central Europe and the Baltics,,2013,1549.201017
Central Europe and the Baltics,,2014,1597.927981
Chad,TCD,1995,43.90132317
Chad,TCD,1996,41.31232081
Chad,TCD,1997,44.06419876
Chad,TCD,1998,44.80134234
Chad,TCD,1999,47.25389665
Chad,TCD,2000,49.40686427
Chad,TCD,2001,52.68886536
Chad,TCD,2002,76.47453369
Chad,TCD,2003,56.74741646
Chad,TCD,2004,78.18543025
Chad,TCD,2005,62.43452782
Chad,TCD,2006,53.14427558
Chad,TCD,2007,54.88388467
Chad,TCD,2008,48.63788051
Chad,TCD,2009,56.04397874
Chad,TCD,2010,55.57835729
Chad,TCD,2011,59.01292561
Chad,TCD,2012,59.90136056
Chad,TCD,2013,70.79693522
Chad,TCD,2014,79.01538673
Chile,CHL,1995,389.7482427
Chile,CHL,1996,460.634068
Chile,CHL,1997,505.6812232
Chile,CHL,1998,566.5267312
Chile,CHL,1999,579.0262806
Chile,CHL,2000,614.4099562
Chile,CHL,2001,652.4433916
Chile,CHL,2002,669.319553
Chile,CHL,2003,794.0854423
Chile,CHL,2004,815.9612014
Chile,CHL,2005,853.6577538
Chile,CHL,2006,962.6779712
Chile,CHL,2007,1065.511687
Chile,CHL,2008,1126.929668
