"Code","youth_literacy_female","Women_in_parlements","Firms_with_female_top_manager","Year","Entity"
"ETH",28.0801696777344,27.8,13.6,2012,"Ethiopia"
"GAB",89.4292526245117,15.8,11.5,2012,"Gabon"
"GEO",99.8623580932617,12,19.8,2012,"Georgia"
"GRD",99.0774230957031,13.3,24,2012,"Grenada"
"GTM",91.9423675537109,13.3,15.7,2012,"Guatemala"
"GUY",93.6702194213867,31.3,17.7,2012,"Guyana"
"HND",95.9872131347656,19.5,31.7,2012,"Honduras"
"HRV",99.6044006347656,23.8,18.7,2012,"Croatia"
"HUN",99.3181228637695,8.8,13.8,2012,"Hungary"
"IDN",81.6483993530273,18.6,31.2,2012,"Indonesia"
"IND",40.3215217590332,11,8.9,2012,"India"
"IRQ",80.4868316650391,25.2,2.3,2012,"Iraq"
"ISR",98.046028137207,20,10.1,2012,"Israel"
"JAM",96.2955169677734,12.7,24.1,2012,"Jamaica"
"JOR",99.2027282714844,10.8,2.4,2012,"Jordan"
"KAZ",99.7549896240234,24.3,24.7,2012,"Kazakhstan"
"KEN",91.9425506591797,9.8,13.4,2012,"Kenya"
"KGZ",99.7412872314453,23.3,23,2012,"Kyrgyzstan"
"KHM",71.0715866088867,20.3,57.3,2012,"Cambodia"
"LAO",64.0543518066406,25,32.2,2012,"Laos"
"LBN",99.0822982788086,3.1,29.1,2012,"Lebanon"
"LBR",33.7245597839355,11,29.9,2012,"Liberia"
"LKA",90.192268371582,5.8,8.8,2012,"Sri Lanka"
"LSO",97.49609375,26.7,21.6,2012,"Lesotho"
"LTU",99.7084732055664,24.5,15.1,2012,"Lithuania"
"LVA",99.8209228515625,23,31.3,2012,"Latvia"
"MAR",30.9509105682373,17,4.3,2012,"Morocco"
"MDA",99.7385330200195,19.8,20.6,2012,"Moldova"
"MDG",68.1862335205078,17.5,28.2,2012,"Madagascar"
"MEX",99.0295715332031,36.8,14.6,2012,"Mexico"
"MKD",98.5668716430664,32.5,19.1,2012,"Macedonia"
"MLI",13.4746503829956,10.2,21,2012,"Mali"
"MMR",81.3442001342773,6,29.5,2012,"Myanmar"
"MNE",98.2872009277344,17.3,24.5,2012,"Montenegro"
"MNG",98.4319381713867,14.9,36.4,2012,"Mongolia"
"MRT",55.4837112426758,22.1,4.5,2012,"Mauritania"
"MWI",49.1280708312988,22.3,15.6,2012,"Malawi"
"MYS",86.5314788818359,10.4,8.7,2012,"Malaysia"
"NAM",90.4171600341797,24.4,27.4,2012,"Namibia"
"NER",15.0577697753906,13.3,11.3,2012,"Niger"
"NGA",62.4877815246582,6.7,13.9,2012,"Nigeria"
"NIC",88.8178787231445,40.2,32.3,2012,"Nicaragua"
"NPL",14.966609954834,33.2,13.4,2012,"Nepal"
"OWID_WRL",88.6129379272461,20.7571878712743,18.5634146341463,2012,"World"
"PAK",64.4740982055664,22.5,6,2012,"Pakistan"
"PAN",96.2839584350586,8.5,23.5,2012,"Panama"
"PER",98.6757507324219,21.5,14.1,2012,"Peru"
"PHL",92.4690322875977,22.9,32.7,2012,"Philippines"
"PNG",64.0581283569336,2.7,13.8,2012,"Papua New Guinea"
"POL",99.8158111572266,23.7,31.1,2012,"Poland"
"PRY",89.0011978149414,12.5,22.8,2012,"Paraguay"
"ROU",99.0320892333984,13.3,24.7,2012,"Romania"
"RUS",99.7494583129883,13.6,20.1,2012,"Russia"
"RWA",83.4873886108398,56.3,19.7,2012,"Rwanda"
"SDN",72.3313827514648,24.6,3.4,2012,"Sudan"
"SEN",28.0347499847412,42.7,14.1,2012,"Senegal"
"SLB",80,2,22.6,2012,"Solomon Islands"
"SLE",37.3575210571289,12.4,7.1,2012,"Sierra Leone"
"SLV",84.9478912353516,26.2,21.4,2012,"El Salvador"
"SRB",99.3177261352539,33.2,15.9,2012,"Serbia"
"SSD",29.5776233673096,26.5,9.5,2012,"South Sudan"
"SUR",94.1390380859375,11.8,15,2012,"Suriname"
"SVN",99.7790069580078,32.2,15.9,2012,"Slovenia"
"SWZ",74.9796600341797,13.6,27.4,2012,"Swaziland"
"TCD",8.94583988189697,14.9,6.8,2012,"Chad"
"TGO",63.5548515319824,11.1,15.1,2012,"Togo"
"THA",96.1722030639648,15.8,64.8,2012,"Thailand"
"TJK",99.6712493896484,19,11.8,2012,"Tajikistan"
"TLS",78.5684432983398,38.5,27,2012,"Timor"
"TTO",99.2435607910156,28.6,20.8,2012,"Trinidad and Tobago"
"TUN",95.7175827026367,26.7,8.5,2012,"Tunisia"
"TUR",98.4126510620117,14.2,12.4,2012,"Turkey"
"TZA",84.8480224609375,36,14,2012,"Tanzania"
"UGA",81.6541976928711,35,15.4,2012,"Uganda"
"UKR",99.8345184326172,9.4,27.9,2012,"Ukraine"
"URY",99.2977828979492,12.1,19.4,2012,"Uruguay"
"UZB",99.8944778442383,22,11.4,2012,"Uzbekistan"
"VCT",97.9975967407227,17.4,38.6,2012,"Saint Vincent and the Grenadines"
"VEN",93.8853073120117,17,31.1,2012,"Venezuela"
"VNM",94.0229415893555,24.4,26.4,2012,"Vietnam"
"YEM",35.3777313232422,0.3,0.1,2012,"Yemen"
"ZMB",65.5243682861328,11.5,23.8,2012,"Zambia"
"ZWE",84.8122406005859,15,17.4,2012,"Zimbabwe"
