"","Country","Code","poverty_gap","public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","life_exp","median_age_2010","fertility","lower_secondary","gov_expen","gross_enrol_secondary","gross_enrol_primary","gov_expen_ter_2010","grad_per_f","teritary_share_2010","men_earings","women_earnings","earnings_ratio_gap","men_employment","women_employmet","employment_ratio_gap","wage_gap","male_literacy_2011","female_literacy_2011","female_prp","female_top_managers_2013","homicide_Rate"
"18","Belize","BLZ",13699399,3.57774343,3.22742604,1.53,7974.034168,449.9795476,73.044,21.9,2.64,64.3162384033203,NA,78.3836517333984,113.791709899902,0.573780000209808,NA,3.18,NA,NA,338000,72.17,40.34,324292,NA,NA,NA,NA,NA,27.36666815
"19","Benin","BEN",1294268648,2.15409384,14.082624,7.04,1855.953118,83.3296218,59.842,17.9,5.25,NA,4.86815977096558,NA,122.76953125,0.784789979457855,NA,2.01,NA,NA,9729000,NA,NA,9351838,NA,NA,NA,NA,NA,5.453578299
"20","Bhutan","BTN",2104079,2.70086093,0.992816106,3.11,7032.74666,268.4584055,69.263,23.799999,2.24,69.779670715332,NA,73.6317672729492,110.975616455078,0.608120024204254,NA,NA,NA,NA,702000,64.42,61.84,750443,NA,NA,NA,NA,NA,1.111993442
"21","Bolivia","BOL",344419840,3.77236617,7.769716697,3.34,5792.933051,333.4974473,69.01,22.799999,3.07,87.7177200317383,6.42524003982544,82.8828964233398,NA,2.26945996284485,NA,8.43,4.78,4.26,10378000,78.97,56.47,10248042,NA,99.2466278076172,98.7720184326172,NA,NA,6.447812048
"22","Bosnia and Herzegovina","BIH",531221,7.08021227,0.042594576,0.57,9929.707283,947.943652,76.401,38.900002,1.31,90.9727478027344,NA,89.0124130249023,100.494567871094,NA,NA,NA,NA,NA,3605000,41.52,22.59,3744235,NA,NA,NA,23,24.1,2.650894136
"23","Botswana","BWA",66471975,3.95538221,5.405692232,3.68,14244.49431,878.7249266,63.511,23,2.86,88.7707138061523,NA,82.7621536254883,108.065582275391,NA,NA,2.02,NA,NA,2040000,NA,NA,2053237,NA,NA,NA,NA,NA,8.642611649
"24","Brazil","BRA",3481037120,3.66135204,3.62834355,1.54,15119.91214,1257.327661,74.209,29,1.78,NA,5.85510015487671,95.5837326049805,130.376022338867,0.926069974899292,31.0992794036865,5.63,7.82,6.54,199287008,NA,NA,198360943,NA,97.9099884033203,99.0731506347656,36.4,NA,30.64070229
"25","Brunei","BRN",NA,2.11253245,0.140233666,0.89,81993.93208,1706.219453,74.962,27.5,1.87,104.243698120117,2.88959002494812,105.711692810059,106.783729553223,0.498959988355637,49.4350318908691,6.51,NA,NA,399000,NA,NA,412892,NA,99.1998901367188,99.5460586547852,NA,NA,1.466854152
"26","Bulgaria","BGR",39035034.5,3.9998185,0.049466279,0.83,15772.09659,1131.182789,74.126,42.400002,1.51,40.3238105773926,3.50202989578247,93.1796417236328,100.128936767578,0.579779982566834,37.6329116821289,13.07,NA,NA,7334000,50.79,42.64,7397873,NA,98.0669326782227,97.6510620117188,35.5,23.9,2.450389098
"27","Burkina Faso","BFA",1524434363,2.98036859,20.0326172,6.06,1521.454295,82.40361559,58.374,16.700001,5.69,20.1663703918457,4.05353021621704,25.9408397674561,83.6821899414063,0.742129981517792,18.7525806427002,NA,NA,NA,16571000,NA,NA,17481984,NA,NA,NA,NA,NA,10.24386467
"28","Burundi","BDI",2184771886,4.93086533,29.40233965,5.31,778.7354836,60.80011299,58.568,17.6,6.06,19.7576999664307,5.82090997695923,27.8977909088135,133.305282592773,1.22500002384186,33.5,0.54,NA,NA,9246000,NA,NA,8749387,NA,NA,NA,NA,NA,0.622290311
"29","Cambodia","KHM",28796894,1.5033407,3.96983899,3.26,2807.007055,177.6133266,67.48,22.700001,2.74,44.672908782959,1.56269001960754,NA,121.354461669922,0.378529995679855,NA,1.32,NA,NA,14780000,NA,NA,14478320,NA,NA,NA,16.7,NA,2.55507946
"30","Cameroon","CMR",1387959804,1.0667471,10.05424141,6.44,3021.20597,117.7681517,56.073,18,4.98,NA,2.6971800327301,50.4674301147461,110.811309814453,0.299600005149841,NA,1.64,NA,NA,21485000,NA,NA,20468943,NA,NA,NA,NA,NA,2.974867081
"31","Canada","CAN",NA,7.65114455,0.344492942,0.48,41794.53892,4585.420877,81.674,39.700001,1.62,NA,NA,110.267601013184,99.6937713623047,1.90082001686096,NA,22.67,NA,NA,34922000,65.54,57.89,34674708,19.5,NA,NA,NA,NA,1.655104428
"32","Cape Verde","CPV",5305275,3.33864148,1.428699752,1.98,5986.939054,288.1608013,71.445,22,2.53,78.6594085693359,NA,91.4871292114258,113.220733642578,NA,NA,NA,NA,NA,505000,NA,NA,505335,NA,NA,NA,NA,NA,13.66546363
"33","Central African Republic","CAF",1014056505,1.76802987,35.37633532,9.8,938.8237795,33.65525446,48.638,18.5,5.12,12.7098503112793,NA,17.3780097961426,93.4557266235352,0.246619999408722,NA,0.83,NA,NA,4436000,NA,NA,4575586,NA,NA,NA,NA,NA,7.760958112
"34","Chad","TCD",1245570384,1.42193941,24.5538436,8.17,1962.87773,59.90136056,51.928,15.6,6.37,15.7359304428101,2.20615005493164,22.4027900695801,93.9981307983398,0.391609996557236,NA,NA,NA,NA,12785000,NA,NA,11830573,NA,NA,NA,NA,NA,6.049140264
"35","Chile","CHL",56681835.5,3.47616472,2.067331592,0.72,21330.23991,1538.742736,79.176,32.099998,1.83,96.1428985595703,NA,91.4658889770508,101.725601196289,0.933659970760345,19.3281402587891,5.92,NA,NA,17400000,68.02,43.84,17423214,NA,99.2143936157227,99.6053695678711,NA,NA,4.433581443
"36","China","CHN",12832933170,2.94581376,0.707768362,1.16,11145.75158,588.3594347,75.013,35.200001,1.6,NA,NA,92.1432495117188,110.088768005371,NA,NA,2.71,NA,NA,1384205952,NA,NA,1353600687,NA,NA,NA,NA,NA,1.170143693
"37","Colombia","COL",942827120,5.27751219,2.595053158,1.49,11840.24043,835.6853911,75.882,28,1.95,92.8255081176758,4.38531017303467,99.8500289916992,116.561210632324,1.06684005260468,33.865291595459,18.55,4.33,4.12,46076000,75.83,50.04,47550708,8.2,97.7604522705078,98.7243423461914,NA,NA,36.22662571
"38","Comoros","COM",20148949,2.64660402,12.13211213,5.95,1422.229487,101.522384,62.595,19.1,4.73,NA,4.88998985290527,NA,NA,NA,NA,NA,NA,NA,724000,NA,NA,773344,NA,NA,NA,NA,NA,7.86241456
"39","Congo","COG",434664301.5,3.14942137,12.0278686,4.05,5271.16806,230.6448177,61.423,19.299999,4.88,51.9218788146973,NA,54.5433807373047,110.888458251953,0.676360011100769,NA,0.64,NA,NA,4510000,NA,NA,4233063,NA,85.6836090087891,76.9460830688477,NA,NA,5.412921529
"40","Costa Rica","CRI",21928470,7.00022695,0.368024244,0.85,13878.0474,1322.401185,79.074,29.200001,1.87,58.6398811340332,6.6898398399353,107.950958251953,114.554046630859,1.25458002090454,NA,14.69,NA,NA,4688000,69.2,43.46,4793725,0.6,99.007682800293,99.2581176757813,NA,NA,9.596595489
"41","Cote d'Ivoire","CIV",1460358430,1.88504549,12.07723483,7.31,2712.378026,172.158423,54.271,17.9,5.14,31.9705791473389,4.61108016967773,NA,84.9939117431641,NA,NA,2.13,NA,NA,21547000,NA,NA,20594615,NA,NA,NA,NA,NA,10.15836388
"42","Croatia","HRV",16879096.5,6.36320706,0.010907787,0.45,20346.75535,1643.41053,77.301,41.700001,1.49,97.1488571166992,NA,99.7670593261719,95.7502212524414,0.778829991817474,34.5582809448242,11.04,NA,NA,4296000,49.5,37.42,4387376,NA,99.712043762207,99.7357177734375,25.8,18.7,1.326897858
"43","Cuba","CUB",NA,8.08825537,0.266434619,0.45,NA,1704.373292,78.446,38.5,1.69,95.2328262329102,NA,91.9312591552734,99.844612121582,NA,39.9167213439941,13.32,NA,NA,11257000,NA,NA,11249266,NA,NA,NA,NA,NA,5.906815853
"44","Cyprus","CYP",NA,3.41160371,0.306304538,0.27,31690.70277,2215.658224,79.812,33.900002,1.39,95.6126937866211,NA,95.2998504638672,100.175346374512,1.36278998851776,48.6792488098145,20.75,NA,NA,1135000,61.85,50.65,1129166,NA,99.8045425415039,99.8383102416992,16.4,NA,1.767067362
"45","Czech Republic","CZE",5830948,6.341765,0.254388011,0.25,28527.13873,2057.588861,78.067,39.599998,1.49,92.4459686279297,4.2508602142334,97.0830688476563,99.5738906860352,0.917940020561218,32.3744087219238,7.59,12.44,9.79,10581000,63.61,45.94,10565678,15.3,NA,NA,23.1,11.6,1.353731153
"46","Democratic Republic of Congo","COD",20132145500,1.68717363,21.82869664,8.04,706.7979638,24.55287183,57.914,16.9,6.36,39.6840896606445,NA,41.2836990356445,101.459381103516,0.384550005197525,NA,0.46,NA,NA,69021000,NA,NA,69575394,NA,NA,NA,NA,10.8,3.337154294
"47","Denmark","DNK",NA,9.41966027,0.261145943,0.35,44336.81246,4688.673649,79.958,40.599998,1.73,96.5777587890625,7.23782014846802,123.682510375977,101.375106811523,2.35520005226135,37.2492408752441,14.98,NA,NA,5611000,62.33,54.6,5592738,7,NA,NA,28.8,NA,0.802655149
"48","Djibouti","DJI",46273787.5,5.25888563,17.40058839,5.93,NA,257.6303507,61.395,21.9,3.13,47.4889602661133,NA,43.0634307861328,67.9332275390625,0.740859985351563,NA,NA,NA,NA,868000,NA,NA,922708,NA,NA,NA,NA,14.2,8.298662451
"49","Dominica","DMA",NA,3.66936388,1.67088083,2.24,9981.101135,553.2149498,74.017,NA,NA,88.8111877441406,NA,NA,119.012130737305,NA,NA,NA,NA,NA,71000,NA,NA,67665,NA,NA,NA,NA,NA,11.69141846
"50","Dominican Republic","DOM",47912528,2.70181226,1.612918907,2.77,11494.94971,500.3807319,72.523,24.799999,2.54,74.6909484863281,NA,76.3887405395508,102.914360046387,NA,34.9784812927246,2.06,4.03,3.72,9931000,70.28,41.11,10183339,NA,96.0916900634766,98.0536422729492,58,NA,20.90433718
"51","Ecuador","ECU",263066742,2.957293,4.198434543,1.44,10322.1789,678.1083502,75.495,25.200001,2.6,83.9152526855469,4.64307022094727,85.4583892822266,116.983299255371,1.08316004276276,29.6882991790771,5.19,NA,NA,15474000,75.27,46.46,14864987,NA,98.5865020751953,98.8053207397461,43.2,NA,17.87372276
"52","Egypt","EGY",NA,1.90923133,2.120004429,2.24,9822.420181,542.4597849,70.736,23.9,3.31,NA,NA,83.6341018676758,106.204536437988,NA,NA,6.65,NA,NA,86422000,67.04,17.01,83958369,NA,NA,NA,NA,7.1,0.833145966
"53","El Salvador","SLV",41253541,4.21047115,4.337338823,1.51,6663.811622,526.7184613,71.692,24.200001,2.19,87.2969818115234,3.33400988578796,77.1446685791016,117.86589050293,0.426620006561279,28.6112308502197,3.92,3.61,3.61,6238000,NA,NA,6264129,NA,96.1505584716797,96.9458923339844,55.8,NA,102.1411907
"54","Equatorial Guinea","GNQ",NA,3.32588194,7.130223295,7.6,35632.04564,1367.393441,56.288,21.6,5.04,32.1316909790039,NA,NA,84.457389831543,NA,NA,NA,NA,NA,1031000,NA,NA,740471,NA,NA,NA,NA,NA,3.206763867
"55","Eritrea","ERI",NA,1.38397646,39.96096557,3.68,NA,44.79592593,76.446,40.200001,1.62,55.3558616638184,NA,36.5461196899414,52.9173393249512,NA,NA,NA,NA,NA,3250000,NA,NA,5580862,NA,NA,NA,NA,NA,12.32115577
"56","Estonia","EST",11076582,5.11576165,0.049861494,0.31,25691.99964,1555.765993,76.446,40.200001,1.62,100.733787536621,4.71293020248413,107.529846191406,101.709571838379,1.20129001140594,36.1660118103027,18.87,NA,NA,1323000,60.89,50.37,1339762,NA,99.9392395019531,99.9590377807617,31.6,25.3,5.614586337
"57","Ethiopia","ETH",4424216538,3.31059512,19.1349143,5.04,1230.575484,72.46903911,63.281,17.5,4.68,25.7135391235352,5.56678009033203,36.2312202453613,94.7794189453125,1.97564995288849,NA,NA,NA,NA,92727000,61.74,42.6,86538534,NA,NA,NA,NA,NA,7.71789879
"58","Fiji","FJI",5430105,2.76214864,3.146962695,2.04,7537.926213,309.7298772,66.859,26.5,2.62,94.9636077880859,NA,88.6682510375977,104.917259216309,NA,NA,7.03,NA,NA,865000,NA,NA,875822,NA,NA,NA,NA,NA,4.221564277
"59","Finland","FIN",NA,7.04083988,0.032001876,0.23,39912.94136,3608.12012,80.586,42,1.8,97.1397476196289,7.19254016876221,107.485900878906,100.41381072998,2.08303999900818,27.820520401001,12.35,NA,NA,5415000,58.46,52.03,5402627,18.7,NA,NA,29.7,NA,1.806938027
"60","France","FRA",NA,8.82605179,1.469109926,0.34,37327.9444,4285.438593,81.852,40,1.99,102.743873596191,5.46131992340088,111.665321350098,106.230072021484,1.28605997562408,29.8428497314453,10.6,NA,NA,63564000,56.01,46.72,63457777,NA,NA,NA,39.2,NA,0.957296072
"61","Gabon","GAB",18534481,2.2102012,7.165545231,4.04,16159.72185,556.4607717,62.924,21.5,4.01,NA,3.01340007781982,NA,NA,NA,NA,6.3,NA,NA,1750000,NA,NA,1563873,NA,NA,NA,NA,NA,5.203611201
"62","Gambia","GMB",223180783,3.67221276,15.75168867,4.64,1560.330276,97.87944087,60.178,16.799999,5.64,64.6090469360352,4.10118007659912,NA,84.0134429931641,0.410430014133453,45.6571197509766,0.91,NA,NA,1905000,64.01,44.08,1824777,NA,NA,NA,33.7,NA,1.299064957
"63","Georgia","GEO",133867692,1.21034891,0.061447488,1.3,7881.329048,634.457383,72.097,36.599998,1.98,103.710678100586,1.98330998420715,NA,114.530128479004,NA,42.1109313964844,NA,NA,NA,4064000,65.6,49.5,4304363,NA,NA,NA,NA,32,3.634235766
"64","Germany","DEU",NA,8.36111454,0.109203493,0.33,42822.0994,4709.593602,80.391,44.299999,1.42,NA,4.93331003189087,102.883880615234,103.090301513672,1.33466994762421,NA,13.14,NA,NA,80973000,62.75,51.23,81990837,15.3,NA,NA,27.1,NA,0.805564196
"65","Ghana","GHA",733276386,3.14067583,13.4796099,4.48,3632.44568,178.4253553,61.72,19.9,4.19,66.4318771362305,7.91913986206055,58.1386909484863,109.711067199707,1.43770003318787,17.0597991943359,1.44,NA,NA,25996000,NA,NA,25545939,NA,NA,NA,NA,14.9,3.198542832
"66","Greece","GRC",NA,6.27443023,0.010207733,0.33,24364.26906,2319.270226,80.963,41,1.37,98.3531112670898,NA,105.168449401855,99.2927932739258,NA,37.9845390319824,22.5,NA,NA,10781000,48.08,31.58,11418878,6.9,NA,NA,22.2,NA,1.415312985
"67","Grenada","GRD",NA,3.04594194,1.963943424,1.34,11048.50429,714.7746282,72.669,25,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,107000,NA,NA,105303,NA,NA,NA,NA,NA,4.965610932
"68","Guatemala","GTM",383727420,2.14774653,21.5521919,2.72,6899.108739,441.680547,72.236,19.700001,3.22,59.4546585083008,2.95785999298096,64.0707092285156,110.674629211426,0.317649990320206,NA,0,NA,NA,15271000,85.49,44.07,15137569,NA,NA,NA,35.6,NA,36.30887503
"69","Guinea","GIN",833962877,2.09894618,21.88036618,6.54,1684.153841,65.71973754,57.905,18.1,5.18,35.6954116821289,1.89600002765656,37.6192398071289,88.6705780029297,1.33782005310059,NA,NA,NA,NA,10652000,NA,NA,10480710,NA,NA,NA,NA,NA,6.609790223
"70","Guinea-Bissau","GNB",355291146,1.59137059,13.65521274,6.62,1412.954212,91.52068168,55.645,18.4,4.92,NA,2.00106000900269,NA,NA,0.0934500023722649,NA,NA,NA,NA,1605000,NA,NA,1579632,NA,NA,NA,NA,NA,8.665844162
"71","Guyana","GUY",13492736,4.33943785,6.703656966,2.95,6420.114762,424.2785446,68.575,24.299999,2.61,NA,3.18242001533508,89.3368377685547,85.4383697509766,0.193800002336502,25.1012096405029,0.24,NA,NA,755000,NA,NA,757623,NA,NA,NA,NA,NA,18.95994191
"72","Haiti","HTI",2062337235,0.98027129,7.023988129,5.88,1584.832466,159.4500485,61.26,21.6,3.17,NA,NA,NA,NA,NA,NA,0.67,NA,NA,10251000,NA,NA,10255644,NA,NA,NA,NA,NA,19.60154135
"73","Honduras","HND",496511325,4.45364758,2.230295145,1.86,4136.822058,421.8827931,73.814,21.1,2.69,48.8663787841797,NA,72.510139465332,113.266891479492,0.889750003814697,39.183349609375,1.93,3.84,4.44,8641000,77.66,37.06,7912032,NA,94.9314422607422,96.9261093139648,35.8,NA,102.7428355
"74","Hungary","HUN",14446992,4.91010603,0.079044571,0.48,22582.07281,1744.13678,75.107,40.099998,1.33,NA,NA,101.860229492188,100.300247192383,0.965210020542145,27.8233699798584,15.38,NA,NA,9864000,52.53,40.2,9949589,11.3,NA,NA,36.3,20.4,1.884940881
"75","Iceland","ISL",NA,6.99404794,0.149653546,0.19,39931.60936,3529.113419,82.095,34.799999,2.01,97.1648406982422,7.86642980575562,111.170257568359,98.6670684814453,1.54840004444122,35.1902198791504,17.89,NA,NA,326000,77.41,72.71,328290,NA,NA,NA,38.2,NA,0.734060168
"76","India","IND",34526206800,1.18387275,3.152420165,4.11,4827.559656,217.1842987,67.545,25.1,2.48,NA,3.8675000667572,69.1641464233398,109.757751464844,1.19758999347687,NA,4.85,NA,NA,1265779968,77.17,22.48,1258350971,NA,90.0448303222656,81.8498077392578,13,NA,3.316606848
"77","Indonesia","IDN",3285500634,1.14773652,8.655323018,2.54,9251.175537,273.8299528,69.866,26.700001,2.46,82.5255737304688,3.40748000144959,80.4074172973633,108.691452026367,0.451469987630844,NA,3.73,NA,NA,248452000,79.88,49.01,244769110,NA,98.803840637207,98.7518005371094,NA,NA,1.079711759
"78","Iran","IRN",10563392,2.68760016,0.323562402,1.54,16625.91922,1143.93808,74.776,26.9,1.74,96.2300109863281,3.16859006881714,87.6428375244141,105.282348632813,0.826749980449677,26.9013900756836,14.66,NA,NA,75540000,NA,NA,75611798,NA,NA,NA,NA,NA,2.648689086
"79","Iraq","IRQ",NA,3.28004061,0.416116094,2.89,14625.97401,650.8411568,69.148,18.9,4.54,NA,NA,NA,NA,NA,NA,8.77,NA,NA,31890000,NA,NA,33703068,NA,NA,NA,NA,NA,7.203227897
"80","Ireland","IRL",NA,5.62241699,0.056455863,0.34,44973.17526,3813.985997,80.593,34.599998,2,NA,5.75110006332397,126.093330383301,103.637756347656,1.35446000099182,28.6104907989502,26.8,NA,NA,4608000,55.64,46.79,4579498,8.5,NA,NA,30.4,NA,0.897519276
"81","Israel","ISR",NA,4.865017,0.23129631,0.34,30582.15371,2446.055935,81.833,30.1,3.03,98.1300201416016,5.66922998428345,101.063987731934,105.594078063965,0.933200001716614,NA,20.26,NA,NA,7615000,64.63,54.07,7694670,NA,NA,NA,NA,10.1,2.243607983
"82","Italy","ITA",7893417,6.9931209,0.123587516,0.32,35227.62483,3304.59641,82.298,43.799999,1.43,102.281700134277,NA,101.677391052246,100.857490539551,0.816089987754822,45.1787605285645,6.84,NA,NA,59879000,53.43,35.02,60964145,11.1,99.8510284423828,99.8686981201172,22.2,NA,0.928088211
"83","Jamaica","JAM",NA,3.27376045,1.825813284,1.52,8016.04319,480.8947124,74.001,27.6,2.1,NA,6.11454010009766,NA,NA,1.39174997806549,NA,8.37,NA,NA,2842000,61.9,44.95,2761331,NA,NA,NA,NA,NA,36.35991129
"84","Japan","JPN",NA,8.40992077,0.276142621,0.22,36367.59706,3621.575814,83.283,44.700001,1.4,NA,3.69226002693176,101.807258605957,102.30004119873,0.759519994258881,14.3672399520874,18.91,NA,NA,128424000,67.53,46.22,126434653,26.5,NA,NA,NA,NA,0.599091542
"85","Jordan","JOR",NA,5.50930257,0.137456789,1.7,8964.263431,834.6770479,73.722,21.5,3.6,87.2619094848633,NA,84.2942886352539,88.7190475463867,NA,NA,3.8,NA,NA,8090000,NA,NA,6457260,NA,99.0508270263672,99.2532196044922,NA,2.4,2.800377499
"86","Kazakhstan","KAZ",1164386.5,2.40821469,0.463064033,1.46,21986.31892,943.0090174,68.805,28.9,2.7,96.3386383056641,NA,101.294570922852,109.16918182373,NA,NA,14.03,NA,NA,16752000,NA,NA,16381297,NA,NA,NA,NA,18.9,10.6193875
"87","Kenya","KEN",2581380375,3.32293745,18.34257352,3.83,2602.597687,149.2181468,62.659,18.200001,4.17,NA,5.50903987884521,67.6403884887695,116.131248474121,NA,NA,3.4,NA,NA,44343000,NA,NA,42749418,NA,NA,NA,NA,13.4,10.59155402
"88","Kiribati","KIR",3326026,8.31360947,28.36272696,4.79,1762.060349,176.8544521,66.381,21.6,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,106000,NA,NA,102660,NA,NA,NA,NA,NA,1.849261382
"89","Kuwait","KWT",NA,2.1872224,0.012275093,0.85,77618.00034,2017.852635,74.728,29.5,2.09,89.9771499633789,NA,92.5220336914063,105.988922119141,NA,NA,4.28,NA,NA,3349000,NA,NA,2891553,NA,NA,NA,NA,NA,0.930346204
"90","Kyrgyzstan","KGZ",28789959,4.19724385,0.184897172,2.32,2869.838962,202.2428949,69.868,24,3.08,88.1060180664063,7.38423013687134,NA,102.946533203125,0.902899980545044,41.6901397705078,9,NA,NA,5622000,71.34,46.88,5448085,NA,NA,NA,NA,28.8,5.506506189
"91","Laos","LAO",164222187,0.79224628,4.942721047,5.6,4794.108611,97.41470086,65.267,20.700001,2.97,45.6432113647461,1.82147002220154,47.8338088989258,120.065040588379,NA,17.4274997711182,3.3,NA,NA,6445000,NA,NA,6373934,NA,NA,NA,NA,NA,4.051664511
"92","Latvia","LVA",13655708.5,3.5769554,0.07126318,0.57,20827.9116,869.7877289,73.778,40.799999,1.51,NA,6.59438991546631,98.7889099121094,104.383918762207,0.807799994945526,30.0893707275391,12.42,NA,NA,2069000,55.7,46.76,2234572,NA,99.8021926879883,99.8701095581055,44.6,31.5,7.315994922
"93","Lebanon","LBN",NA,3.23585528,0.195028881,0.81,15057.28703,1085.665973,78.611,28.5,1.67,60.6170082092285,2.15629005432129,71.0396728515625,99.085823059082,0.443709999322891,NA,NA,NA,NA,5538000,NA,NA,4291719,NA,NA,NA,NA,4.4,5.182814645
"94","Lesotho","LSO",428725861,8.44735094,11.36131524,7.28,2617.302097,270.4230396,47.416,20.5,3.25,41.3270416259766,NA,53.2792892456055,110.963172912598,NA,30.3329200744629,0.76,NA,NA,2015000,NA,NA,2216850,NA,NA,NA,NA,NA,45.26149435
"95","Liberia","LBR",636071958.5,3.38634341,15.29138816,6.54,771.9054262,81.13406016,60.663,18.299999,4.87,NA,2.75756001472473,NA,NA,NA,35.2201309204102,1.9,NA,NA,4136000,NA,NA,4244684,NA,NA,NA,NA,NA,2.279343665
