"","Country","Code","Year","poverty_gap","public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","life_exp","median_age_2010","fertility","homicide_Rate"
"34","Botswana","BWA",2012,66471975,3.95538221,5.405692232,3.68,14244.49431,878.7249266,63.511,23,2.86,8.642611649
"35","Central African Republic","CAF",2012,1014056505,1.76802987,35.37633532,9.8,938.8237795,33.65525446,48.638,18.5,5.12,7.760958112
"36","Canada","CAN",2012,NA,7.65114455,0.344492942,0.48,41794.53892,4585.420877,81.674,39.700001,1.62,1.655104428
"37","Switzerland","CHE",2012,NA,7.49878485,0.202005406,0.39,56149.67086,6173.036453,82.626,41.599998,1.52,0.720027545
"38","Chile","CHL",2012,56681835.5,3.47616472,2.067331592,0.72,21330.23991,1538.742736,79.176,32.099998,1.83,4.433581443
"39","China","CHN",2012,12832933170,2.94581376,0.707768362,1.16,11145.75158,588.3594347,75.013,35.200001,1.6,1.170143693
"40","Cote d'Ivoire","CIV",2012,1460358430,1.88504549,12.07723483,7.31,2712.378026,172.158423,54.271,17.9,5.14,10.15836388
"41","Cameroon","CMR",2012,1387959804,1.0667471,10.05424141,6.44,3021.20597,117.7681517,56.073,18,4.98,2.974867081
"42","Democratic Republic of Congo","COD",2012,20132145500,1.68717363,21.82869664,8.04,706.7979638,24.55287183,57.914,16.9,6.36,3.337154294
"43","Congo","COG",2012,434664301.5,3.14942137,12.0278686,4.05,5271.16806,230.6448177,61.423,19.299999,4.88,5.412921529
"45","Colombia","COL",2012,942827120,5.27751219,2.595053158,1.49,11840.24043,835.6853911,75.882,28,1.95,36.22662571
"46","Comoros","COM",2012,20148949,2.64660402,12.13211213,5.95,1422.229487,101.522384,62.595,19.1,4.73,7.86241456
"47","Cape Verde","CPV",2012,5305275,3.33864148,1.428699752,1.98,5986.939054,288.1608013,71.445,22,2.53,13.66546363
"48","Costa Rica","CRI",2012,21928470,7.00022695,0.368024244,0.85,13878.0474,1322.401185,79.074,29.200001,1.87,9.596595489
"49","Cuba","CUB",2012,NA,8.08825537,0.266434619,0.45,NA,1704.373292,78.446,38.5,1.69,5.906815853
"52","Cyprus","CYP",2012,NA,3.41160371,0.306304538,0.27,31690.70277,2215.658224,79.812,33.900002,1.39,1.767067362
"53","Czech Republic","CZE",2012,5830948,6.341765,0.254388011,0.25,28527.13873,2057.588861,78.067,39.599998,1.49,1.353731153
"54","Germany","DEU",2012,NA,8.36111454,0.109203493,0.33,42822.0994,4709.593602,80.391,44.299999,1.42,0.805564196
"55","Djibouti","DJI",2012,46273787.5,5.25888563,17.40058839,5.93,NA,257.6303507,61.395,21.9,3.13,8.298662451
"56","Dominica","DMA",2012,NA,3.66936388,1.67088083,2.24,9981.101135,553.2149498,74.017,NA,NA,11.69141846
"57","Denmark","DNK",2012,NA,9.41966027,0.261145943,0.35,44336.81246,4688.673649,79.958,40.599998,1.73,0.802655149
"58","Dominican Republic","DOM",2012,47912528,2.70181226,1.612918907,2.77,11494.94971,500.3807319,72.523,24.799999,2.54,20.90433718
"59","Algeria","DZA",2012,NA,4.52025089,0.298913897,2.24,13161.96167,821.3388854,75.436,26,2.94,1.229985964
"60","Ecuador","ECU",2012,263066742,2.957293,4.198434543,1.44,10322.1789,678.1083502,75.495,25.200001,2.6,17.87372276
"61","Egypt","EGY",2012,NA,1.90923133,2.120004429,2.24,9822.420181,542.4597849,70.736,23.9,3.31,0.833145966
"64","Spain","ESP",2012,NA,6.7346152,0.13220948,0.3,31109.18746,2997.551666,82.384,40.599998,1.35,0.822220144
"65","Estonia","EST",2012,11076582,5.11576165,0.049861494,0.31,25691.99964,1555.765993,76.446,40.200001,1.62,5.614586337
"66","Eritrea","EST",2012,NA,1.38397646,39.96096557,3.68,NA,44.79592593,76.446,40.200001,1.62,12.32115577
"67","Ethiopia","ETH",2012,4424216538,3.31059512,19.1349143,5.04,1230.575484,72.46903911,63.281,17.5,4.68,7.71789879
"68","Finland","FIN",2012,NA,7.04083988,0.032001876,0.23,39912.94136,3608.12012,80.586,42,1.8,1.806938027
"69","Fiji","FJI",2012,5430105,2.76214864,3.146962695,2.04,7537.926213,309.7298772,66.859,26.5,2.62,4.221564277
"71","France","FRA",2012,NA,8.82605179,1.469109926,0.34,37327.9444,4285.438593,81.852,40,1.99,0.957296072
"73","Micronesia (country)","FSM",2012,3814250,11.58813926,5.70050772,3.08,3343.876355,444.7506964,66.817,20.200001,NA,5.659744071
"74","Gabon","GAB",2012,18534481,2.2102012,7.165545231,4.04,16159.72185,556.4607717,62.924,21.5,4.01,5.203611201
"75","United Kingdom","GBR",2012,NA,7.80263316,0.073460905,0.41,36892.85031,3322.940065,80.739,39.599998,1.89,0.556427725
"76","Georgia","GEO",2012,133867692,1.21034891,0.061447488,1.3,7881.329048,634.457383,72.097,36.599998,1.98,3.634235766
"77","Ghana","GHA",2012,733276386,3.14067583,13.4796099,4.48,3632.44568,178.4253553,61.72,19.9,4.19,3.198542832
"79","Guinea","GIN",2012,833962877,2.09894618,21.88036618,6.54,1684.153841,65.71973754,57.905,18.1,5.18,6.609790223
"81","Gambia","GMB",2012,223180783,3.67221276,15.75168867,4.64,1560.330276,97.87944087,60.178,16.799999,5.64,1.299064957
"82","Guinea-Bissau","GNB",2012,355291146,1.59137059,13.65521274,6.62,1412.954212,91.52068168,55.645,18.4,4.92,8.665844162
"83","Equatorial Guinea","GNQ",2012,NA,3.32588194,7.130223295,7.6,35632.04564,1367.393441,56.288,21.6,5.04,3.206763867
"84","Greece","GRC",2012,NA,6.27443023,0.010207733,0.33,24364.26906,2319.270226,80.963,41,1.37,1.415312985
"85","Grenada","GRD",2012,NA,3.04594194,1.963943424,1.34,11048.50429,714.7746282,72.669,25,2.19,4.965610932
"87","Guatemala","GTM",2012,383727420,2.14774653,21.5521919,2.72,6899.108739,441.680547,72.236,19.700001,3.22,36.30887503
"90","Guyana","GUY",2012,13492736,4.33943785,6.703656966,2.95,6420.114762,424.2785446,68.575,24.299999,2.61,18.95994191
"92","Honduras","HND",2012,496511325,4.45364758,2.230295145,1.86,4136.822058,421.8827931,73.814,21.1,2.69,102.7428355
"93","Croatia","HRV",2012,16879096.5,6.36320706,0.010907787,0.45,20346.75535,1643.41053,77.301,41.700001,1.49,1.326897858
"94","Haiti","HTI",2012,2062337235,0.98027129,7.023988129,5.88,1584.832466,159.4500485,61.26,21.6,3.17,19.60154135
"95","Hungary","HUN",2012,14446992,4.91010603,0.079044571,0.48,22582.07281,1744.13678,75.107,40.099998,1.33,1.884940881
"96","Indonesia","IDN",2012,3285500634,1.14773652,8.655323018,2.54,9251.175537,273.8299528,69.866,26.700001,2.46,1.079711759
"98","India","IND",2012,34526206800,1.18387275,3.152420165,4.11,4827.559656,217.1842987,67.545,25.1,2.48,3.316606848
"99","Ireland","IRL",2012,NA,5.62241699,0.056455863,0.34,44973.17526,3813.985997,80.593,34.599998,2,0.897519276
"100","Iran","IRN",2012,10563392,2.68760016,0.323562402,1.54,16625.91922,1143.93808,74.776,26.9,1.74,2.648689086
"101","Iraq","IRQ",2012,NA,3.28004061,0.416116094,2.89,14625.97401,650.8411568,69.148,18.9,4.54,7.203227897
"102","Iceland","ISL",2012,NA,6.99404794,0.149653546,0.19,39931.60936,3529.113419,82.095,34.799999,2.01,0.734060168
"103","Israel","ISR",2012,NA,4.865017,0.23129631,0.34,30582.15371,2446.055935,81.833,30.1,3.03,2.243607983
"104","Italy","ITA",2012,7893417,6.9931209,0.123587516,0.32,35227.62483,3304.59641,82.298,43.799999,1.43,0.928088211
"105","Jamaica","JAM",2012,NA,3.27376045,1.825813284,1.52,8016.04319,480.8947124,74.001,27.6,2.1,36.35991129
"106","Jordan","JOR",2012,NA,5.50930257,0.137456789,1.7,8964.263431,834.6770479,73.722,21.5,3.6,2.800377499
"107","Japan","JPN",2012,NA,8.40992077,0.276142621,0.22,36367.59706,3621.575814,83.283,44.700001,1.4,0.599091542
"108","Kazakhstan","KAZ",2012,1164386.5,2.40821469,0.463064033,1.46,21986.31892,943.0090174,68.805,28.9,2.7,10.6193875
"109","Kenya","KEN",2012,2581380375,3.32293745,18.34257352,3.83,2602.597687,149.2181468,62.659,18.200001,4.17,10.59155402
"110","Kyrgyzstan","KGZ",2012,28789959,4.19724385,0.184897172,2.32,2869.838962,202.2428949,69.868,24,3.08,5.506506189
"111","Cambodia","KHM",2012,28796894,1.5033407,3.96983899,3.26,2807.007055,177.6133266,67.48,22.700001,2.74,2.55507946
"112","Kiribati","KIR",2012,3326026,8.31360947,28.36272696,4.79,1762.060349,176.8544521,66.381,21.6,3.8,1.849261382
"114","South Korea","KOR",2012,NA,0.91707714,0.105769642,0.33,31776.89703,2245.553976,81.137,38,1.22,1.709916953
"115","Kuwait","KWT",2012,NA,2.1872224,0.012275093,0.85,77618.00034,2017.852635,74.728,29.5,2.09,0.930346204
"116","Laos","LAO",2012,164222187,0.79224628,4.942721047,5.6,4794.108611,97.41470086,65.267,20.700001,2.97,4.051664511
"117","Lebanon","LBN",2012,NA,3.23585528,0.195028881,0.81,15057.28703,1085.665973,78.611,28.5,1.67,5.182814645
"118","Liberia","LBR",2012,636071958.5,3.38634341,15.29138816,6.54,771.9054262,81.13406016,60.663,18.299999,4.87,2.279343665
"119","Libya","LBY",2012,NA,3.02,0.306616326,1.29,24956.37515,1148.51074,71.901,25.799999,2.39,3.91128523
"120","Saint Lucia","LCA",2012,12632796,4.2074087,2.065418198,1.61,12064.76572,873.0018097,75.138,30.299999,1.51,18.62784138
"122","Sri Lanka","LKA",2012,41067683,1.21959941,0.70614139,0.93,9980.022952,288.0044676,75.796,30.4,2.14,3.932596568
"123","Lesotho","LSO",2012,428725861,8.44735094,11.36131524,7.28,2617.302097,270.4230396,47.416,20.5,3.25,45.26149435
"124","Lithuania","LTU",2012,15551737.5,4.34953944,0.032475196,0.42,24049.35398,1583.971811,73.706,40.599998,1.57,6.991620409
"125","Luxembourg","LUX",2012,NA,5.98807092,0.397688435,0.23,89505.15896,6541.348173,80.955,38.900002,1.56,1.13956899
"126","Latvia","LVA",2012,13655708.5,3.5769554,0.07126318,0.57,20827.9116,869.7877289,73.778,40.799999,1.51,7.315994922
"129","Morocco","MAR",2012,66327727,2.18146636,0.378535871,2.51,6791.335135,425.1429937,74.97,26.299999,2.58,1.242761712
"131","Moldova","MDA",2012,987544,5.51752278,0.020329295,1.44,4150.504763,501.6483238,70.581,34.200001,1.27,6.575331687
"132","Madagascar","MDG",2012,6064218515,1.8161053,66.01103562,3.9,1370.950275,48.34825107,64.28,18,4.44,1.674379017
"133","Maldives","MDV",2012,2975115,6.50292714,1.345136938,0.93,12611.58587,1156.968838,76.664,25,2.21,0.876470158
"134","Mexico","MEX",2012,567192151.5,3.16097116,5.473900232,1.41,16394.63067,1051.515253,74.966,25.9,2.3,27.07287629
"135","Marshall Islands","MHL",2012,NA,13.90652174,7.160834557,3.11,3626.424778,620.7890145,71.968,NA,NA,6.633415426
"136","Macedonia","MKD",2012,6172843.5,4.42539678,0.019057958,0.92,11549.66814,803.0028492,75.019,35.700001,1.49,1.778160115
"137","Mali","MLI",2012,1814379084,1.67327338,25.27820472,7.47,1804.942604,101.1760025,56.135,16.200001,6.4,6.111397833
"138","Malta","MLT",2012,NA,6.62523457,0.055898178,0.58,29131.73091,2959.790927,81.314,40.099998,1.41,1.22677524
"139","Myanmar","MMR",2012,NA,0.8196291,3.871329281,4.56,4148.698196,85.14629454,64.453,26.299999,2.32,2.061632592
"140","Montenegro","MNE",2012,2235844,4.47237839,0.080991928,0.51,14066.4356,979.6898021,75.823,36.400002,1.73,3.631997815
"141","Mongolia","MNG",2012,1169241,2.2605149,0.077046794,1.91,9788.825022,421.3681159,68.217,25.700001,2.77,9.253881136
"143","Mozambique","MOZ",2012,4760713834,2.77638277,16.55116531,6.35,994.1248942,56.55687427,53.931,17,5.47,6.897853854
"144","Mauritania","MRT",2012,51380028,1.37024701,8.042924546,5.97,3462.56176,119.3428677,63.079,19.200001,4.9,4.017465587
"147","Mauritius","MUS",2012,961191,2.29270279,1.055400425,1.31,17093.32093,804.5865808,73.96,32.900002,1.51,2.931261948
"148","Malawi","MWI",2012,3635486505,6.76593456,17.08353186,4.92,1039.759359,91.98897678,58.629,16.700001,4.99,2.035414912
"149","Malaysia","MYS",2012,4025074,2.21523329,0.309727651,0.64,22590.79152,901.8176385,74.877,26,2.11,2.009712885
"151","Namibia","NAM",2012,88299194,4.85409775,7.741746867,3.82,8967.163152,743.4864042,59.387,19.9,3.59,16.3365614
"153","Niger","NER",2012,1560974184,2.2118347,8.161074968,5.76,862.8663997,51.95151069,58.79,15,7.42,4.904294864
"154","Nigeria","NGA",2012,23789918320,1.03316953,12.02008632,7.57,5339.451668,178.3101464,51.786,17.9,5.76,3.776878065
"155","Nicaragua","NIC",2012,96643386,4.26016257,2.238866477,1.77,4453.253517,359.1924492,72.951,23.1,2.34,8.90864307
"157","Netherlands","NLD",2012,NA,9.52842158,0.326733316,0.36,45411.35235,5115.013393,81.212,40.799999,1.76,0.97700041
"158","Norway","NOR",2012,NA,7.773856,0.317734827,0.24,63003.4109,6116.47888,81.512,38.700001,1.85,0.866499435
"159","Nepal","NPL",2012,339468250,2.4668546,2.097848881,3.42,2103.353638,126.9398395,68.426,21.299999,2.38,1.677465357
"161","New Zealand","NZL",2012,NA,9.54766661,0.080153738,0.5,33369.26946,3726.998931,81.233,36.599998,2.07,1.361515269
"162","Oman","OMN",2012,NA,2.07995677,0.14926855,0.98,43030.17781,1073.913927,76.149,26.200001,2.88,0.593469341
"167","Pakistan","PAK",2012,1156387671,1.01846302,1.664936145,6.97,4367.451996,123.3250287,65.849,21.4,3.74,5.356985459
"168","Panama","PAN",2012,37349136,4.9715198,3.099880704,1.62,18441.35151,1320.360655,77.188,27.200001,2.6,21.48355625
"169","Peru","PER",2012,236350348,2.84664765,2.694058508,1.44,10943.91927,571.7056344,74.981,25.9,2.5,4.033620346
"170","Philippines","PHL",2012,1824562438,1.38625636,6.201224008,2.39,5988.804388,274.4892936,70.149,23.1,3.07,14.50839367
"172","Papua New Guinea","PNG",2012,623782445,3.65327954,12.43261379,4.83,3230.318722,114.8793174,62.604,20.9,3.87,12.15616737
"173","Poland","POL",2012,0,4.57751554,0.127828319,0.46,23218.1113,1544.559029,76.968,38.099998,1.34,1.985591752
"175","North Korea","PRK",2012,NA,NA,1.945474835,1.98,NA,NA,70.454,33,1.96,2.907984329
"176","Portugal","PRT",2012,NA,6.23891139,0.308531509,0.3,25805.84983,2624.03726,80.513,41.599998,1.29,1.597713732
"177","Paraguay","PRY",2012,50882095,4.59860124,5.128919968,2.08,7312.40983,769.2427259,73.068,23.299999,2.63,12.01066162
"178","Palestine","PSE",2012,280867.5,NA,0.384180535,1.94,4841.813486,NA,73.041,18.200001,4.28,6.132164906
"180","Qatar","QAT",2012,NA,1.83147767,0.04564629,0.74,125302.08,2855.522737,79.399,31.799999,2,0.909519779
"182","Romania","ROU",2012,0,4.39738629,0.184989317,0.94,18302.02629,1005.042832,74.744,39.400002,1.49,2.265379282
"183","Russia","RUS",2012,9930920,3.7958389,0.106469684,0.84,25156.42094,1653.680618,69.944,38,1.62,17.49612603
"184","Rwanda","RWA",2012,1729595935,2.8358772,17.09810345,3.75,1521.626448,115.9307712,65.438,19.1,4.27,4.980891334
"185","Saudi Arabia","SAU",2012,NA,2.75228269,0.535210265,0.9,49658.6527,1920.380701,74.254,25.9,2.78,0.86362497
"186","Sudan","SDN",2012,656412313.5,1.87179556,1.885069731,4.92,4097.068622,262.379384,63.542,18.299999,4.77,2.262809771
"187","Senegal","SEN",2012,1203154537,2.17986622,7.566617055,3.93,2187.17909,95.01243387,65.448,18.1,5,1.030856882
"188","Singapore","SGP",2012,NA,1.50107774,0.0113359,0.22,76285.56992,3258.996796,82.254,37.299999,1.26,0.529489201
"190","Solomon Islands","SLB",2012,43635020,5.09469496,6.500087574,2.04,2119.467968,112.9780315,71.296,19.5,4.1,5.477783615
"191","Sierra Leone","SLE",2012,530713358,1.98087849,23.1954355,9.98,1402.697094,179.022627,51.018,17.799999,4.92,1.488977012
"192","El Salvador","SLV",2012,41253541,4.21047115,4.337338823,1.51,6663.811622,526.7184613,71.692,24.200001,2.19,102.1411907
"194","Somalia","SOM",2012,NA,NA,27.98025627,9.16,NA,NA,54.713,16.1,6.67,12.24877789
"196","Serbia","SRB",2012,1497960,6.04971324,0.092953305,0.62,12898.70491,1266.62247,74.619,38.799999,1.58,2.705186635
"197","South Sudan","SSD",2012,3087732465,NA,27.81327717,6.37,1550.269284,50.44431903,55.791,18.1,5.2,18.73105639
"198","Sao Tome and Principe","STP",2012,9349767,2.48230437,9.911927718,3.05,2718.163543,275.6556145,68.306,17.799999,4.69,5.499141239
"199","Suriname","SUR",2012,52523609.5,3.21586169,2.362746177,2.05,15132.25261,955.9659008,70.851,27.200001,2.47,9.656086057
"200","Slovakia","SVK",2012,4502202,5.67922105,0.071699473,0.55,26218.4716,2064.596533,76.067,37.299999,NA,2.661634371
"201","Slovenia","SVN",2012,0,6.80388719,0.013096137,0.23,27976.91631,2616.847383,80.001,41.5,1.57,1.08141699
"202","Sweden","SWE",2012,NA,9.95552109,0.278566195,0.25,43308.21447,5007.480762,81.834,40.700001,1.91,1.238666641
"203","Swaziland","SWZ",2012,139551618,6.29539313,9.696853073,5.13,7528.841673,526.6362255,49.862,19.200001,3.36,28.36848931
"205","Seychelles","SYC",2012,287109,3.79789254,1.290416483,1.24,22618.01239,919.6957731,73.041,31.299999,2.37,6.196710604
"208","Chad","TCD",2012,1245570384,1.42193941,24.5538436,8.17,1962.87773,59.90136056,51.928,15.6,6.37,6.049140264
"209","Togo","TGO",2012,1044827100,1.94779734,10.50092053,5.61,1259.334474,67.31487705,58.661,18.6,4.73,5.854096491
"210","Thailand","THA",2012,4657546,3.24811916,0.46615799,1.04,14448.30501,573.3940428,74.992,35.5,1.53,6.843409631
"211","Tajikistan","TJK",2012,286521605.5,1.87760452,0.170510691,3.43,2324.369287,152.4609277,69.34,21.299999,3.49,2.824313834
"213","Turkmenistan","TKM",2012,17568435.5,1.27337639,0.09368776,4.71,12235.36862,248.8387752,67.167,24.4,2.94,4.072165422
"214","Timor","TLS",2012,35250605,0.91575551,5.901396861,4.82,9977.079097,95.84250102,67.72,17.1,NA,2.663545994
"215","Tonga","TON",2012,131765,3.64053035,5.513618258,1.5,5128.53418,231.4315242,70.242,21.200001,3.82,2.220744752
"216","Trinidad and Tobago","TTO",2012,1208077,2.89498885,1.342782512,2.65,31254.78873,1706.688453,72.382,31.9,1.8,26.74034998
"217","Tunisia","TUN",2012,17942232,4.15787253,0.223737075,1.36,10404.22409,766.0400576,75.376,29.200001,2.21,0.651565027
"218","Turkey","TUR",2012,5190847.5,4.1491433,0.517511332,1.43,20282.02838,948.7019637,75.373,28.299999,2.12,2.084376607
"221","Tanzania","TZA",2012,4797653805,2.79046023,15.25444211,4.48,2227.828714,127.1119071,60.47,17.200001,5.29,5.959350162
"222","Uganda","UGA",2012,2550734610,2.15389932,13.10589693,4.51,1608.439799,133.5744714,59.017,15.3,5.96,4.245034236
"223","Ukraine","UKR",2012,0,4.12524044,0.104549878,0.92,8322.173034,636.3530089,70.464,39.5,1.49,8.016280733
"224","Uruguay","URY",2012,2593690,5.94708868,1.570492689,0.85,18477.37913,1640.65921,77.004,33.700001,2.05,6.383190273
"225","United States","USA",2012,NA,8.04235781,0.649532141,0.61,50520.34829,8789.767513,78.862,36.900002,1.9,5.678312409
"226","Uzbekistan","UZB",2012,1542218477,3.12737145,0.03271631,2.78,4765.860109,323.7948448,70.155,24.5,2.4,2.524154229
"228","Saint Vincent and the Grenadines","VCT",2012,NA,4.40344684,4.310748398,1.77,10009.13083,863.0065033,71.879,27.9,2.02,20.10746042
"229","Venezuela","VEN",2012,1324862400,1.67563803,1.516335191,1.46,17678.8125,865.2300762,73.037,25.799999,2.42,52.72493464
"232","Vietnam","VNM",2012,357220463,3.72212414,0.097141067,1.79,4821.137231,342.1910244,74.958,28.5,1.96,1.845484342
"233","Vanuatu","VUT",2012,6206825,3.16739626,7.407017474,2.45,2899.164415,109.2798307,69.421,21.200001,3.42,1.71884821
"235","Samoa","WSM",2012,158118,4.33764124,4.217217547,1.57,5644.292861,288.6519309,72.136,20.799999,4.21,3.153495639
"236","Yemen","YEM",2012,NA,1.57162782,2.472157161,4.32,3793.412118,210.6413092,65.92,18,4.44,3.060375293
"237","South Africa","ZAF",2012,1750222012,4.27629351,5.10311414,3.61,12215.25187,1097.427426,60.06,24.799999,2.55,30.90263759
"238","Zambia","ZMB",2012,3019621056,2.53637046,21.40492908,4.96,3509.413319,175.0925745,58.502,16.5,5.24,6.202861112
"239","Zimbabwe","ZWE",2012,427411678.5,2.78944514,31.16849648,4.84,1871.36634,112.2177969,55.032,18.6,4,8.984186721
