"","homicide_rate","men_earings","women_earnings","earnings_ratio_gap","men_employment","women_employmet","employment_ratio_gap","wage_gap","male_literacy_2011","female_literacy_2011","female_prp","female_top_managers_2013","Country","Code"
"138",2.06163259232803,NA,NA,51414000,NA,NA,48724387,NA,NA,NA,NA,NA,"Myanmar","MMR"
"139",3.63199781480126,NA,NA,626000,45.91,34.62,632796,NA,99.3607864379883,99.0526123046875,24.8,19.3,"Montenegro","MNE"
"140",9.25388113592109,NA,NA,2825000,63.26,53.72,2844081,NA,NA,NA,38.7,35.6,"Mongolia","MNG"
"142",6.89785385386868,NA,NA,24863000,60.69,62.74,24475186,NA,NA,NA,NA,NA,"Mozambique","MOZ"
"143",4.01746558741378,NA,NA,3707000,58,25,3622961,NA,NA,NA,NA,NA,"Mauritania","MRT"
"146",2.93126194835586,NA,NA,1253000,71.66,38.69,1313803,NA,97.6891479492188,98.5759201049805,23.1,NA,"Mauritius","MUS"
"147",2.03541491227401,NA,NA,15396000,NA,NA,15882815,NA,NA,NA,NA,NA,"Malawi","MWI"
"148",2.00971288509425,6.73,6.9,29068000,NA,NA,29321798,NA,NA,NA,NA,NA,"Malaysia","MYS"
"150",16.3365614018475,NA,NA,2195000,53.33,43.06,2364433,NA,93.4585189819336,95.346321105957,25.6,NA,"Namibia","NAM"
"152",4.90429486394391,NA,NA,17795000,NA,NA,16644339,NA,NA,NA,NA,NA,"Niger","NER"
"153",3.77687806495958,NA,NA,167228992,NA,NA,166629383,NA,NA,NA,NA,NA,"Nigeria","NGA"
"154",8.90864307049228,NA,NA,5983000,NA,NA,5954898,NA,NA,NA,49.7,NA,"Nicaragua","NIC"
"156",0.97700041046514,NA,NA,16792000,67.01,55.6,16714228,NA,NA,NA,28.3,NA,"Netherlands","NLD"
"157",0.866499434612563,NA,NA,5014000,71.64,66.64,4960482,6.4,NA,NA,31.2,NA,"Norway","NOR"
"158",1.67746535658269,NA,NA,26989000,NA,NA,31011137,NA,89.8840179443359,80.2068328857422,NA,17.2,"Nepal","NPL"
"160",1.36151526860319,NA,NA,4468000,69.04,57.96,4461257,5.9,NA,NA,NA,NA,"New Zealand","NZL"
"161",0.593469340793004,NA,NA,3498000,NA,NA,2904037,NA,NA,NA,NA,NA,"Oman","OMN"
"165",5.35698545924854,NA,NA,187280000,NA,NA,179951140,NA,78.0424194335938,63.1368103027344,NA,6,"Pakistan","PAK"
"166",21.4835562535901,7.17,6.99,3771000,77.27,45.65,3624991,NA,NA,NA,46.5,NA,"Panama","PAN"
"167",4.0336203461427,4.96,3.7,29507000,81.95,67.24,29733829,NA,NA,NA,NA,NA,"Peru","PER"
"168",14.5083936694507,NA,NA,97213000,72.69,46.55,96471461,NA,NA,NA,41.1,NA,"Philippines","PHL"
"170",12.1561673658324,NA,NA,7631000,NA,NA,7170112,NA,NA,NA,NA,NA,"Papua New Guinea","PNG"
"171",1.98559175247409,NA,NA,38227000,58.23,42.89,38317090,10.6,NA,NA,35,20.6,"Poland","POL"
"173",2.90798432885471,NA,NA,24801000,NA,NA,24553672,NA,NA,NA,NA,NA,"North Korea","PRK"
"174",1.59771373202127,8.26,7.53,10526000,55.99,46.22,10699333,16.3,99.3917999267578,99.4796371459961,27.9,NA,"Portugal","PRT"
"175",12.0106616240763,5.24,4.86,6422000,80.17,56.65,6682943,NA,NA,NA,NA,NA,"Paraguay","PRY"
"176",6.132164906418,NA,NA,4242000,45.97,9.75,NA,NA,99.2598571777344,99.3669967651367,15.5,1.2,"Palestine","PSE"
"178",0.909519779319513,NA,NA,2196000,95.55,50.92,1938754,NA,97.5791625976563,98.7493286132813,NA,NA,"Qatar","QAT"
"180",2.26537928244377,NA,NA,20227000,58.94,43.43,21387517,NA,99.0140914916992,98.9762191772461,30.8,20.1,"Romania","ROU"
"181",17.4961260334925,NA,NA,143994000,70.38,60.06,142703181,NA,NA,NA,NA,NA,"Russia","RUS"
"182",4.98089133389176,NA,NA,10550000,NA,NA,11271786,NA,NA,NA,NA,NA,"Rwanda","RWA"
"183",0.863624970328459,NA,NA,29155000,75.54,15.97,28705133,NA,NA,NA,NA,NA,"Saudi Arabia","SAU"
"184",2.26280977104382,NA,NA,36194000,NA,NA,35335982,NA,NA,NA,NA,NA,"Sudan","SDN"
"185",1.03085688179635,NA,NA,13402000,NA,NA,13107945,NA,73.9665069580078,58.9990196228027,NA,NA,"Senegal","SEN"
"186",0.529489200951762,NA,NA,5369000,73.43,55.27,5256278,NA,99.8840408325195,99.8017425537109,NA,NA,"Singapore","SGP"
"188",5.47778361527205,NA,NA,556000,NA,NA,566481,NA,NA,NA,NA,NA,"Solomon Islands","SLB"
"189",1.48897701152979,NA,NA,6713000,NA,NA,6126450,NA,NA,NA,NA,NA,"Sierra Leone","SLE"
"190",102.141190711943,3.61,3.61,6238000,NA,NA,6264129,NA,96.1505584716797,96.9458923339844,55.8,NA,"El Salvador","SLV"
"192",12.2487778946889,NA,NA,12715000,NA,NA,9797445,NA,NA,NA,NA,NA,"Somalia","SOM"
"194",2.70518663488446,NA,NA,8940000,42.78,28.73,9846582,NA,99.3454437255859,99.2699127197266,NA,14.3,"Serbia","SRB"
"195",18.7310563899542,NA,NA,10114000,NA,NA,10386101,NA,NA,NA,NA,NA,"South Sudan","SSD"
"196",5.49914123925041,NA,NA,188000,NA,NA,171878,NA,NA,NA,NA,NA,"Sao Tome and Principe","STP"
"197",9.65608605666657,NA,NA,541000,69.8,43.77,534175,NA,NA,NA,NA,NA,"Suriname","SUR"
"198",2.66163437099811,NA,NA,5415000,59.13,43.32,5480332,16,NA,NA,30.4,14,"Slovakia","SVK"
"199",1.08141698951656,NA,NA,2058000,57.75,47.34,2040057,NA,NA,NA,40.3,18.8,"Slovenia","SVN"
"200",1.23866664110553,NA,NA,9543000,67.85,62.96,9495392,15.1,NA,NA,34.5,NA,"Sweden","SWE"
"201",28.3684893140933,NA,NA,1079000,NA,NA,1220408,NA,NA,NA,NA,NA,"Swaziland","SWZ"
"203",6.19671060416859,NA,NA,93000,NA,NA,87169,NA,NA,NA,NA,NA,"Seychelles","SYC"
"206",6.04914026360679,NA,NA,12785000,NA,NA,11830573,NA,NA,NA,NA,NA,"Chad","TCD"
"207",5.8540964910793,NA,NA,6774000,NA,NA,6283092,NA,86.9166793823242,72.708122253418,NA,NA,"Togo","TGO"
"208",6.84340963120623,NA,NA,67836000,80.6,64.88,69892142,NA,NA,NA,NA,NA,"Thailand","THA"
"209",2.8243138343935,NA,NA,7875000,NA,NA,7078755,NA,NA,NA,NA,9.6,"Tajikistan","TJK"
"211",4.07216542187646,NA,NA,5268000,NA,NA,5169660,NA,NA,NA,NA,NA,"Turkmenistan","TKM"
"212",2.66354599353644,NA,NA,1133000,NA,NA,NA,NA,NA,NA,NA,NA,"Timor","TLS"
"213",2.22074475187097,NA,NA,103000,NA,NA,104891,NA,99.366569519043,99.5104293823242,NA,NA,"Tonga","TON"
"214",26.7403499756653,NA,NA,1345000,NA,NA,1350999,NA,NA,NA,NA,NA,"Trinidad and Tobago","TTO"
"215",0.651565026900696,NA,NA,10847000,60.03,19.17,10704948,NA,98.236328125,96.3175888061523,NA,8.5,"Tunisia","TUN"
"216",2.08437660681936,NA,NA,74651000,64.98,26.32,74508771,NA,99.4467010498047,97.9363021850586,14.3,5.4,"Turkey","TUR"
"219",5.95935016180899,NA,NA,47053000,NA,NA,47656367,NA,NA,NA,NA,14,"Tanzania","TZA"
"220",4.24503423561833,NA,NA,34559000,NA,NA,35620977,NA,NA,NA,NA,15.4,"Uganda","UGA"
"221",8.01628073322625,NA,NA,45454000,NA,NA,44940268,NA,NA,NA,NA,18.8,"Ukraine","UKR"
"222",6.38319027280335,6.72,6.14,3379000,71.3,51.95,3391428,NA,98.6134033203125,99.120979309082,36.5,NA,"Uruguay","URY"
"223",5.67831240932549,NA,NA,314044000,64.39,53.13,315791284,19.1,NA,NA,39.2,NA,"United States","USA"
"224",2.52415422936581,NA,NA,29449000,NA,NA,28077486,NA,NA,NA,NA,13.4,"Uzbekistan","UZB"
"226",20.1074604211557,NA,NA,108000,NA,NA,109367,NA,NA,NA,NA,NA,"Saint Vincent and the Grenadines","VCT"
"227",52.7249346379071,NA,NA,29361000,64.63,41.16,29890694,NA,96.8898620605469,98.2363662719727,NA,NA,"Venezuela","VEN"
"230",1.84548434247436,NA,NA,89802000,NA,NA,89730274,NA,NA,NA,NA,NA,"Vietnam","VNM"
"231",1.71884821003536,NA,NA,250000,NA,NA,251674,NA,NA,NA,NA,NA,"Vanuatu","VUT"
"233",3.15349563854168,NA,NA,189000,NA,NA,184772,NA,99.0296173095703,99.4580383300781,41.6,NA,"Samoa","WSM"
"234",3.06037529333555,NA,NA,24473000,NA,NA,NA,NA,NA,NA,NA,1.6,"Yemen","YEM"
"235",30.9026375949519,NA,NA,52833000,46.59,32.98,50738255,NA,98.4306411743164,99.1521377563477,34.8,NA,"South Africa","ZAF"
"236",6.2028611120554,NA,NA,14465000,NA,NA,13883577,NA,NA,NA,NA,23.8,"Zambia","ZMB"
"237",8.98418672105332,NA,NA,13115000,NA,NA,13013678,NA,89.5905838012695,92.1245574951172,NA,NA,"Zimbabwe","ZWE"
